,tweet,replies
0,やっぱり大手ネットメディアは野党に忖度してるのか…,"[' 別の方も仰っておられますが、既存メディアの配信記事を各種ポータルサイトが掲載している状況です。どこを見ても左翼色に染まっています。\n\n私自身、Yahoo! Newsなどを見ることはなくなりました。Twitt… https://t.co/fzYwv1dl5e', ' なんか仲間外れで誰も話聞いてくれない子に相談にのってあげてる感覚やな。野党の話を聞くのはもはや慈善事業', ' 新聞、テレビ、ラジオはともかく、ネットまで野党には甘いんですか？それはそれで変ですね❗', ' ヤフー、MSN、ライブドアなんかのポータルサイトに\n野党系新聞は、安い値段で記事配信してるしね。\nよく商売成り立つな。\nと、疑問にすら思うもん。\n\n私が習近平や、文さんだったら、野党系新聞や、ポータルサイト… https://t.co/wToYuisShY', ' 維新です。新田さんのなまえもポストはしげにでてますね。まったくよそものに大阪をつぶされそうで悔しいです。']"
1,なんか悲しいのだけど、スマートニュースに僕の記事が去年の11月から全く拾われなくなったのよね。それまではよく掲載してもらっていたので拡散しやすかった。異変は森ゆうこ騒動の頃と符合する。あの頃、森氏をはじめ野党政治家に相当きついこと… https://t.co/PVhOW8Cejy,"[' 台風が押し迫る金曜の夜に、月曜日の国会質問の為に数百人単位で官僚を拘束していた、\n森ゆうこの事ですね。\nその後も自身の保身の為に、ツイートの時間がおかしい❗情報漏洩だ❗と大騒ぎしていた、\nあの、森ゆうこの事… https://t.co/kOc95y3BAF', ' やっぱり、右中間を守っているのが\nレフトスタンドにいるメディア関係の人達から疎まれてるんじゃないのかな？']"
2,これほどゲスい記事を見たことはない。朝日新聞は日刊ゲンダイ並みに堕ちた。 https://t.co/VlLIquEpvn,"[' 朝日にもお金で記事を書いてくれるサービスってあるんですかね？？\n記事には記者名はないなぁ・・・', ' なり振り構わず、、になってしまったんですね。あせってるんでしょうかね。#朝日新聞', ' 実話ナックルより下と認定されました。おめでとうございます実話ナックル', ' ゲスい記事さえ書ければ、高給取りの朝日で出世出来るのか。悪徳アフィリエイターの再就職先に最適。', ' いえいえ、朝日新聞は日刊アサヒ芸能かと・・・', ' 誰かが朝日新聞は便所の紙にもならないと言っていた記憶・・・・・？', ' 日本の病巣そのものです。\nこのくだらん連中を取り除かなければ日本は良くならないと改めて思います💢', ' いつヶ月、ぶり、たいちようがしんぱいされるなか、しよくじができた。うれしいことでないんですか？', ' @liyonyon 菩薩様のような素敵なお顔の安倍総理。なんだか可愛い表情…', ' @liyonyon よかった！\nあべちゃんには元気になってもらいたいです。', ' 私の中では東スポ以下だけど(´・ω・｀)\n東スポは楽しませてくれるけど、朝日は不愉快にしてくれるからのぉ(´・ω・｀)', ' 全国の安倍ファンを安心させようとする素晴らしい記事だと思います。', ' 日本の新聞じゃないから、人を思いやる、体調の良いときにはせめて美味しいものを少し、という人の心を持っていない種族主義の新聞社。\nそして、記事を書く記者は日本にいることさえ国益を損なう。', ' 男は黙って通報です。\n私はしました。', ' ん？\n平壌運転じゃないですか、これ(笑)\nアカピの真のゲスさからすればまだまだ可愛いもんだと思いますよ。この手の記事、一杯書いてきてるようですし。', ' 日刊ゲンダイ並と言う事は、毎日新聞並みと言う事かな？\nそれはまた失礼な人だなあ、チミィ。', ' とっくに同じくダークサイドに落ちています。', ' @liyonyon 全く！\n報道すべき事は世界中にあふれてるのに！！プンスカプン！', ' 日刊ゲンダイどころか便所の落書き以下\nもう新聞社やなく朝日不動産の新聞部門', ' 「コース完食やワイン飲酒が悪いなんて一言も言ってない」、と逃げを打てる書き方なのが卑劣極まりないですね。', ' やっぱり朝日新聞なんか読むとバカになっちゃいますますね。', ' いやいや笑笑\n既に堕ちてますから', ' 朝日新聞て戦前からこんなもんだって\nじいちゃん言ってますけど？', ' @liyonyon えーと、つまり、病気で辞任すると言ったのにコース料理を完食した上に酒まで飲んでたぞ、という事をお知らせしたかったと。でもしょうがないですよ、なんかの弱小マイナー機関紙ですもんね。え？朝日新聞？まさかぁ…。', ' @liyonyon 朝日” 最低だな！国民は馬鹿じゃないよ😊', ' 産業廃棄物レベル。', ' @liyonyon 暗に安倍首相は病気じゃなくて健康だと言いたいのでは？\n考え過ぎか。', ' @liyonyon 三流タブロイド紙以下❗恥を知れ👹', ' @liyonyon 少しでも体調が回復してるのなら嬉しいですね。', ' @liyonyon 堕ちたのか、墜ちていたのか。。', ' @liyonyon 安倍首相の病気症状と食欲とは相関関係ある？\nもしあるのなら、どういう状態の時に食欲の増減が起きるのか？', ' @taji_na ポエマー達のアジビラです', ' さすが、押し紙新聞らしい記事です。', ' 最近では東スポの方が朝日よりまともですよ😑！', ' さすが人非人デマヒ老害新聞', ' いえいえ、日刊ゲンダイと比較しては日刊ゲンダイにお気の毒。朝日はそもそも不動産賃貸業が本業で、それ以外は情報操作とプロパガンダですから。', ' @liyonyon 人間だから、食事は取るでしょう、だから、何？', ' 日刊ゲンダイ並みではない。虚構新聞並みにウソと偽りにまみれている', ' @liyonyon 身体に負担がかからない程度にお酒を飲んだり、趣味を楽しんだり、何が悪いんだよ。\n朝日も末期だな。まあずっとだが。\n日本国民はもう騙されない。', ' 安部さんが元気そうでなりより', ' 胃は大丈夫なんでしょうかね？', ' 安倍首相のお顔を見て悲しく思うのは私だけではないでしょう。苦しんでいらっしゃるのは一目瞭然でしょう。その首相を虐待している輩を許しておけるものか。', ' @teamtk これに反応して無知な左翼が大騒ぎしてるのが問題だと。\n病気の事を何も知らない奴等が妄想だけで\nお酒飲んだと批判する。凄い国民ですよ。', ' @liyonyon 朝日新聞、もう要らないでしょう。', ' @liyonyon 「朝日新聞の首相動静によると、自民党の岸田文雄氏と日本料理店を訪れた以来」\n❌訪れた以来\n⭕️訪れて以来\nこの堕ちも【1万シェア】でお願いします。', ' @liyonyon 朝日新聞はゲスの極み\nまともな社員がいるのか、社の幹部がねつ造大好き、中韓支援で日本潰しに躍起、社是がいつまで経っても打倒安倍政権。ああー終わってる', ' ゲンダイは「分かっている人」が読む新聞。読者に自覚があるので害はないと思われます。しかし朝日新聞は「真っ当なフリ」を装った新聞。「分かっていない人」にも害を成すと言う意味で遥かに有害だと思われます。', ' @Ecotubist それは日刊ゲンダイに失礼では(笑)\n私はゲンダイなどタブロイドよりも下だと思ってますよ', ' 吉田調書の嘘記事を暴いて、芋づる式に慰安婦を誤報でしたと国民に土下座しなきゃいけなくなったときの政権でしたから、(逆)恨み骨髄なんでしょうなあ', ' 朝日新聞の記事は天気予報以外は東スポの見出しレベルの信用度です', ' @liyonyon 今更。', ' @liyonyon 元々ゲンダイ以下です!', ' 普通の国民「思ったより元気そうですね。良かった」\nパヨク陣営「酒にフルコース！仮病だ！診断書出せ！」\n\nこうやってどんどん自らの信頼失っていくだけなので、放っておけばよさそうｗ', ' @liyonyon ストゼロきめてるよりよっぽどいいじゃない', ' @liyonyon 同レベ…', ' @liyonyon え、元々堕ちてますやん。東スポ並みか💮旗並みでは？(・ω・)', ' @Polaris_sky 病人に対する差別。\nでなければ、何？', ' 自分は、紙くず、と思ってます。', ' @liyonyon いや、アサヒ芸能でしょう？\n半島系日本人モドキが書くとこうなる。', ' @liyonyon で？\n\nもっと他に載せるネタ位有るでしょ？嘘吐いた事への謝罪とか、印象操作した事への謝罪とか偏向報道への謝罪とか。', ' 快方に向かっているということで、良かったじゃないですか‼️朝日は安倍さんに辞めてもらいたくないのかな？仮病だろと言ってる人たちもそうなのかな？', ' @liyonyon 「で？」の一言でカタが付く話。\nそもそもこれがニュースか？\n\nホントに輪転機と紙とインクの無駄づかいしかしないアサヒｗ。', ' @liyonyon 誰でも書ける朝日のクダラン\nネタ‼️', ' @liyonyon くだらない内容だ、国民はそんなことより尖閣問題や外交問題を知りたいわ😤', ' @liyonyon 新田哲史さん、お疲れ様です❗私は、日刊ゲンダイも朝日新聞もどっちも終わっていますね😎❗', ' @liyonyon 日刊ゲンダイに失礼じゃろ。', ' @liyonyon 何も悪いことしてないジャン😔', ' @liyonyon 自分は日刊ゲンダイ以下だと思っています。', ' インテリぶった日刊ゲンダイだと思っていたので新田さんの高評価に驚いています。']"
3,"消費税発言にチラ見した“菅首相”の政権運営：解散はいつ？ 
↓
選挙の展望も書きましたが、その先も興味深い。首相交代は官邸官僚交代にもどう繋がるのか。ホントに財務省支配復活なのか。パワーシフトに注目したいところ。
https://t.co/jk7T7R1WI5",[' 菅さんの戦略的発言にも感じました。将来的にはという注釈付きをうまく利用しましたね。増税という言葉が独り歩きしだしてから１０年後以降の話であると増税と増税否定をうまく両立させました。これで１０％減税が後退した… https://t.co/ucfphqRL5r']
4,"消費税発言にチラ見した“菅首相”の政権運営：解散はいつ？ 
↓
けさは拙稿も。睡眠時間けずって結局書きました。発言は選挙に影響するのか？解散時期はどうなるのか？菅政権の権力基盤は？...たった半日の騒動をチラ見しただけですが、示唆… https://t.co/5WipT5DMHi","[' なるほど大阪事情があるのですね。大阪住民投票それ自体の話題が、近づいてる割に若干下火感もあるので、解散の時期に関わらず盛り上げていきたいですね。', ' @NE14198807 作家さん？物書き？示唆するって誰が誰に？日本語おかしいかも。', ' 安倍政権の今井秘書官が菅政権での佐藤浩副会長になるかもですね。\n佐藤浩副会長が影の総理とか呼ばれたりして…。\n原田会長や全国婦人部長とかも出てきたりして、日本で起こる全ての事は信濃町で決められている展開が見えましたw', ' 政務の総理秘書官と官房長官と官房副長官の人事が注目。財務は甘利サン❓']"
