,replies,tweet
0,"[' @12242002 まさに、出来レースそのものだと思いますw\nそもそも、代表選をやる意味がなかったと思いました。', ' 議員会館内違法喫煙罪人が代表とは酷い人事だ。\n完全に不信だ。', ' そういうことになりますね。一般市民と議員とでは、支持する人が違うのは変ですよね😊', ' やっぱりテレビ見ないと駄目ですね。']",これは無かったことになったのですね、、、 https://t.co/KS9TAT1Mhz https://t.co/YD81fvPrQy
1,"[' @RyuichiShigaki @Zegq2W1AsnBCasx @gaku_koganei 頑張って💪下さい🤗\n自民党😉👍️✨✌️', ' 仮に映されなくてもお化粧直しは大事なことですよね\n\n男性で言えば無精ヒゲはあかん\n\nそー言えば、自分もやったことないけど、明治の偉い人みたいな立派な髭を貯えた人、最近見ませんね\nあれ難しいだろうし、時間… https://t.co/CDF0jvQgYx', ' @RyuichiShigaki @Zegq2W1AsnBCasx @gaku_koganei 昔NHKから取材を受けました。', ' @RyuichiShigaki @Zegq2W1AsnBCasx @gaku_koganei この総裁選の出来レース\u3000\n全国の自民党党員どう思ってるのかないつまでテレビとかワイドショーとかやってるのかな… https://t.co/yZTNR4Bmii', ' @RyuichiShigaki @Zegq2W1AsnBCasx @gaku_koganei フジテレビの取材が入るとは驚きますよね😊\nそれだけ注目されている証拠ですね。', ' @RyuichiShigaki @Zegq2W1AsnBCasx @gaku_koganei まきさん、頑張れ。都民じゃないけど、いつも応援してますよ。']","【自民党総裁選】
地域回りの合間に、武蔵小金井駅前にて #総裁選 についての遊説活動。#長島昭久 衆議院議員にフジテレビの取材が入るとのことで、ドキドキしながらシッカリ化粧直しをしてジャケット着用。
残念ながら私がテレビに映ること… https://t.co/ajvsfifYoq"
2,"[' 森友、加計、桜、河井夫妻等の疑惑、なぜ、解明しないのか。', ' お疲れ様です😊', ' まきさんが本当にいつも頑張っているので元気もらえます。', ' 頑張って💪下さい🤗\n何が何でも憲法９条の改正をお願い致します🙋', ' お疲れさま〜\n\nご自愛下さいね！\n\nまたガーリーで可愛い服で登場してね！', ' 毎日挨拶、お疲れ様でした😊\nまだまだ暑いので、食事はきちんと食べて、体力をつけてくださいね。\nサンメリーのパン、美味しそうですね\U0001f950']","【朝の駅頭ご挨拶】
本日は、武蔵小金井駅南口の交番前で「朝の駅前ご挨拶」です。途中でスピーカーの充電が切れるていう初歩的なミスもありましたが、、、たくさんの方にお声かけいただきました。
朝ごはんは、サンメリーさんでパン！パンパパン！ https://t.co/Yqv5AFgexa"
3,"[' 「成功報酬制度」という事は実際に妊娠した今、高額な報酬を\n支払ったという事ですね・・・。\nhttps://t.co/EgbmkBnyyY', ' なるほど❗️\n成功報酬とは画期的な発想ですね👍']",私の通っていた産婦人科では、#不妊治療 に #成功報酬制度 を採用していました。そのため、医師にも、質を追求するインセンティブがあり、お互いに目標を一つに頑張れる環境がありました。 https://t.co/LFKaoNNWDx
4,[],オーケストラはハードル高いですw野球チームも難しそうなので、、、wとりあえずはトリオくらいを目指します💪 https://t.co/npxDdWcLEu
