,replies,tweet
0,[],"皆様のご支援をいただき、無事に当選する事ができました！
次の6年間も愛知県のため、日本のためにがんばって参る所存であります！
今後もよろしくお願いします！

#酒井やすゆき
#参議院選挙
#当選 https://t.co/f2fmuTym2l"
1,[],"街宣車 酒井号！
17日間ありがとう！

明日は投票へ行ってください！

#酒井やすゆき
#参議院選挙
#投票 https://t.co/DzfFfEuyki"
2,[],"明日は投票日になります！
皆さま何卒投票へ行ってください。
大切な一票です。一票を投票するところから政治は始まるんです、そして変わるんです。
どうか投票へ行ってください！
#参議院選挙 #投票日
#酒井やすゆき #自民党公認 https://t.co/NYRftMRIyX"
3,[],"参議院選挙の選挙日程が全て終了しました！
17日間お騒がせしました。また本当にありがとうございました！

#参議院選挙
#酒井やすゆき
#未来を起点に今を考える https://t.co/VuyL7M37ap"
4,[],"酒井やすゆき #サマー #フェス、まもなく開始です！
#酒井やすゆき
#未来を起点に今を考える https://t.co/r2ao3EnNKN"
