,replies,tweet
0,"[' やはり西日本は風水害が厳しいですね。モータースポーツファンとしては、人命の次にオートポリスが気になります。コースに被害があると、カワサキにとっては大きな負担になりますから。', ' ご多忙の中わざわざお気遣い本当にありがとうございます✨😌✨私の住んでいる佐賀県もこの真夜中から台風🌀の影響で凄まじい暴風雨となっています😫山本先生も政治活動等に励まれて下さい‼️😆', ' 風速がひどすぎるのですが\u3000現況で何も起こっていないと思いたいですね\n\nてかさっきガスリーが勝ってしまいましたな\U0001f923']",九州の皆さんはもうすでにしてると思いますが、本当に十分警戒してください。大きな被害がでないことを祈っています。
1,[],"いいニュース‼️ F2でも力強い走りしてる。適応能力も高い。言われなくてもそうするだろうけど、チャンスをもぎ取ってほしい！！
応援してます！！ https://t.co/IIuz5cCKim"
2,[],"さすがに、この発言は残念すぎます。
「大事な時に体を壊す癖〜」と仰りますが、国の定める指定難病ですよ。国会議員として、発病を批判するのではなく、理解しなければいけないのでは？ https://t.co/is97PX7k4j"
3,[],"安倍総理の辞任について、大変驚きました。長きに渡って大変な重責を担い、私たち日本国民のためにご尽力いただきましたこと心から感謝申し上げます。
有難うございました。
どうかくれぐれもご自愛くださいませ。"
4,[],佐藤琢磨選手@TakumaSatoRacer インディー500、二度目の優勝🏆🏆　本当におめでとうございます🥛🥛一度目だって日本人初。二度も優勝するだなんて。リビング・レジェンド‼️
