,tweet,replies
0,"Youtube
「秋元司のアキペディア」にて
動画を公開しております。

今回は【質問コーナー】で
国会議員の仕事内容や仕事への姿勢について
お話させて頂きました。

是非リンクからご覧ください！

#秋元司
#アキペディア… https://t.co/lE3nm9iETS","[' すげー逮捕されてんな。目指せギネスだな！', ' ＩＲ・統合型リゾート施設の汚職事件をめぐる証人買収事件で、秋元司衆議院議員が、経営コンサルタント会社の代表らを通じて別の… https://t.co/UaKnVDvPy5', ' 国会議員を名乗って欲しくない…', ' アキペディア\nいらね〜〜\n\nさよなら\n税金泥棒', ' ええ加減、国会議員を辞めたら、どうなんだ‼︎💢\u3000政権の面汚しで、自民党の株、下げる⤵️\nお前みたのに、国民の税金が使われて💢', ' またニュースでてきたな\nどこまで汚いんや\nギャラ飲みで詐欺師の片棒担ぎも許さん(ジョブコイン)', ' 別の証人も買収しようとした疑い\u3000秋元議員を再逮捕：朝日新聞デジタル https://t.co/bkmvv2YLbN', ' 何がアキペディアですか……。\n\n金にまみれた政治家に居場所はない。\n檻の中で暮らせ。', ' 別の偽証依頼 秋元議員再逮捕へ 2020年9月8日 https://t.co/HtQrypnroB']"
1,"YouTubeを更新しました！

本日速報値が出ましたが
GDPとは？に関しての動画です。
今回は第三回目になります。
是非ご覧ください！

#YouTube
#国会議員
#秋元司
#アキペディア
#GDP
#GNI
#名目GDP… https://t.co/0dnm2Erccv",[]
2,"YouTubeを更新しました！

GDPとは？に関しての動画です。
今回は第二回目になります。
是非ご覧ください！

#YouTube
#国会議員
#秋元司
#アキペディア
#GDP
#GNI
#名目GDP
#実質GDP… https://t.co/ES1hJ4Ef8j",[]
3,"YouTubeを更新しました！

GDPに関する質問が多かったので、3部構成で解説してまいります。
今回は第一回になります。
是非ご覧ください！

#YouTube
#国会議員
#秋元司
#アキペディア
#GDP
#GNI… https://t.co/JZ8H0pvE2v",[]
4,"YouTubeを更新しました！

質問で寄せられた会食での苦労話に関する質問を、私なりの意見でお答えさせて頂いております。
是非ご覧ください！

#秋元司
#アキペディア
#国会議員
#YouTube
#会食
#苦労話… https://t.co/1ppTaiq2ZS",[]
