,tweet,replies
0,【世界市場の分断の危険】漁業権や国家補助をめぐってイギリス政府は、EU離脱協定を骨抜きにする「国内市場法案」を提出した。この世界経済の激しい落ち込みにもかかわらず、再び合意なきブレクジットの可能性が出てきた。ポピュリズムの時代は終… https://t.co/MiAvfC1vNi,[' 支持率が伸びない共産党、新立憲民主党が終わらないからまだまだ。']
1,【反省より忖度】忖度分科会は東京発のGoToを解禁し、イベント人数制限を緩和。表面上感染者数が多少減っても、まだら状の感染が続く中、結局、無症状者への徹底検査をしないままでは、また感染拡大の危険性。死者は1441人で増加中。「たか… https://t.co/0AHQR9aipQ,"[' 西洋を見れば分かること。それを否定するような判断をしてのなら、今の分科会の医師ら、医学の仁を心得ない医学教育を受けてきたのであろう。医師のゴミではないか？ #NHK #NW9', ' どっちに転んでも文句ばかりだな。赤旗学者は何か役に立っているのか？', ' 言葉が有りません！\n欧米とは違うの一点張りですが島国であるにもかかわらず南アジアのワースト1である事を忘れている、経済の為と言いながら自分達の票集めの政策にはウンザリだ、欧米の様な状況にならないと分からないんでしょうね。', ' 20200911返信\u3000政治学者は「忖度政治」の解説論文を後世の研究者へ残すために、焼却されないように大学の研究室、図書館等に分散して保存するように。世界第二位の経済大国が１０位以下に転落させたアホ安倍自民党政権８年間の記録を残して欲しい。', ' 無能力者安倍晋三の元たかがコロナウイルス対策の失敗の元国民が犠牲になる。感染死亡者数が1441名で増加中です。今の政府は死に政府閣僚達です。徹底検査をしなで感染拡大中です危険性大です。失敗、失敗の繰り… https://t.co/zF87Z4fVXg', ' 10万人くらい死んだら気が済むのでしょうか？\n#スガやめろ', ' こんな馬鹿な政権に何を言っても無駄。『増税はするが、国民には自助でなんとかしろ。増税分は国会議員、官僚、大企業で分け合うよ。』これが本音。選挙の時だけ国民に泣き真似してすり寄ってくる。まるで、悪徳羽毛布団売りの営業マンと同じ。', ' コロナの死者の平均年齢79歳 平均寿命より高い。基礎疾患でコロナ無くても亡くなったであろうかたも多い。平年毎日三千人亡くなる日本で 全く恐れることない数字。', ' 分科会の無能さ', ' 賢い人は、こういうのにウッカリ騙されたりしないものです。全数 PCR検査をしないのは、何かワクチンのような新しい利権創出のためなんじゃ無いかと勘ぐってしまう。国民の命よりも自分の懐。', ' GoToトラベル」に東京追加と西村氏\nhttps://t.co/dL6ArptigB\nＧｏＴｏトラベル、感染者“急増”で「除外」を 専門家らが政府に提言へ\nhttps://t.co/v4AUJd5CSG', ' @nonjeland 最初っから「台湾方式」で対処すべきでした。', ' GoToを東京でやるなど言語道断！インフルエンザが流行する冬が間近なのに！そのお金は至急、エッセンシャルワーカーのPCR検査に当てるべき！合わせて、隔離施設、医療の充実に！政府はこれまで、まともな対策が出来ていない！！', ' オマエはずーっと自粛してろや!', ' 信じられない❗️どうして東京までが10月から、経済危機に陥っている事は解るが全く政府のやってる事が意味不明❗️']"
2,本日の大竹まことゴールデンラジオの録音です。この間のPCR検査制限でコロナ対策の失敗が、ワクチンという「神風」が浮けば全てが解決するかのようにしてきた。昨日のワクチンをめぐる報道は、そのさらなる失敗をごまかすための戦時報道みたいで… https://t.co/QkYcOMgjqT,"[' 大阪に至っては、イソジンで神風が吹く！と嘘', ' タップを繰り返したら聞けました‼️ありがとうございます', ' 再生不可⁉️?⁉️', ' 最近ゴールデンラジオをPodcastで聞き始めました。納得の発言に共感しています。今の日本政府がイヤすぎる‥', ' らくらじ\u3000では、一部が音楽に変わっています。', ' 早く検査しなきゃ。', ' 遺伝子組み換えワクチンも\n児玉龍彦が我田引水する抗体も、\n\n新コロウイルスなどという、\nウイルスの粒子を誰も発見していない仮象ウイルス（仮象＝名前だけあってその名前に対応する実体がない）\n及び、仮象ウ… https://t.co/KTz85oRanq', ' うとうとしながら、聴いてました。最後、室井佑月が、先生、今日は話し、まとまりましたと言ってるので、目が覚めました。(^ω^)', ' もう、アホな政策で全国に拡散。\nワクチンなんぞそう簡単にできません。韓国では、無症状感染者のCTに肺炎様画像が見られたようです。\n検査体制の強化しか今はありません。バカ政治家は与野党とも良く考えて欲し… https://t.co/ZeJZXvSazJ']"
3,【ワクチン】今夜のBS-TBS報道1930に友人の東大先端研児玉博士が出てアストラゼネカのワクチン、エボラ出血熱の対策に作られたチンパンジーアデノウィルスを使うワクチンの歴史、期待と副作用を紹介する。ワクチン開発を期待しつつも政治… https://t.co/mIWJN7EfQM,"[' 何でも反対のネガティブコロナタレントカネコ。ワクチン出来たら真っ先に接種するだろうな。', ' 児玉先生の登場で視聴率は上がりますね。なぜ此のにほんかいぎ傀儡政権は此の児玉先生に逆らい真逆の対策をするのか⁉️専門会議の連中も脳なし政権が幾らで雇用シテイルのだが中々頓珍漢で結果を出せん❌児玉先生連… https://t.co/11u0xTQKCw', ' 今観てますけど（無効、あるいはADEを起こしかねない）N抗体は素早く消失するけど、本当に感染防御に効くであろうS抗体は実は体内で150日以上保持されてるそうですね。ワクチン接種時の話ではなく自然感染の場合の話ですけど。東大先端研の研究結果らしい。', ' 金子勝といい児玉龍彦といい無責任男❗️\n言ってる事はあてにできない。\n児玉龍彦「大変な事になる」\n全然大変な事になってない。\n東大先端科学技術研究センターといえば皆が平伏すと思えば大間違い❗️', ' 遺伝子組み換えワクチンも\n児玉龍彦が我田引水する抗体も、\n\n新コロウイルスなどという、\nウイルスの粒子を誰も発見していない仮象ウイルス（仮象＝名前だけあってその名前に対応する実体がない）\n及び、仮象ウ… https://t.co/sgFALs1Pg0', ' どうしてこんな思考になるのか？私は理解出来ません。きっと思考回路が違うのですね。', ' 児玉先生からは 国会での予言が全くはずれた原因や世田谷モデルの進捗についても聞かせて頂きたいものだ。だんだん予言が全てはずれる浜矩子先生みたいになってきたような。', ' 楽しみに待っています。', ' 諸事情でBSテレビを見ることが出来ないので、残念です。児玉先生...(´；ω；`)', ' 高畑頑張れよ‼️', ' え！BSのアンテナが横向いて…映らん💦！Σ(￣□￣;)', ' 「ワクチン開発、政治的利用で歪められてはいけない」アストラゼネカ、ファイザー、モデルナなど開発企業9社は、「全ての治験で安全性が確認される迄、製品販売しない」と例外的な共同声明を発す。11月の大統領選… https://t.co/BoO5FdVoWB', ' あははは。\nいつも歪めているのって…お前だろ。', ' 児玉先生出演楽しみです！', ' イチャモンつける前に勉強せ。\nバカネトウヨ。', ' 児玉教授はかねてからワクチン開発の困難さや副作用の危険について言及し、過度にワクチンに頼って基本的な対策を怠るべきでないと主張しておられましたからね。普段はテレビを見ませんが、今回は例外。', ' バカネトウヨ君、色々なウイルスのワクチン開発は安全性を確保して、いままででも、最低、４年かかってんだよ。国のワクチン外交に前のめりの世界の政治に歪められているのだよ。\nアホネトウヨ君\n。', ' アデノウィルスがアべノウィルスに聴こえてしょうがない、ほんとうに治療効果があるのか？', ' ワクチン開発の邪魔をするのか？監視しよう。', ' 児玉教授にお聞きしたい。\n\n7月の国会で「来月は目を覆うことに」と発言され、国民は恐怖に煽られました。これにつき説明願います。\n\nhttps://t.co/mWo2b9TyE5', ' 政治的利用で歪められるとは、どういうことかね子くん？']"
4,【トランプとアベ】新型コロナについて、トランプは「パニックを避けるために、軽く見せたかった」とワシントンポスト紙のボブ・ウッドワード記者に語った。今やトランプも検査制限論だ。アベ政権も、東京オリンピック開催を前に、検査制限をしてき… https://t.co/aUoSh2Ke1O,"[' チャイナPCR検査キットやれやれ詐欺でチャイナのポチである事がバレバレになっているお前が言うかっ！', ' 毎日SNSに非常に多いかきこみをしてるがこの人論文書いているのかね？\n教授なり学者なら研究で毎日SNSこんなにやってる時間は無いと思うんだが。僕の勘違い？', ' 私が半年前に主張したPCR 検査制限論、やっと世界の常識になりつつある。テレビで検査、検査と喚いていた玉川までいまや検査制限論に。', ' ポチがかわいそうです。ハイエナがいいかも🎵', ' 「パニックになるよう大げさに見せたかった」\n日本ではあなたがたやマスコミが煽動しているのではないですか？\n\nあと、見出しでなく、トランプが「軽く見せたかった（play it down）」と実際に発言し… https://t.co/7cytjdN89C']"
