,tweet,replies
0,昨日の岡山県議会で、伊原木隆太岡山県知事が3期目の出馬表明をされました。本日、公明党岡山県本部に推薦依頼がありました。今後、党内プロセスを踏んでまいりますが、県本部と知事との間で政策協定を結びました。常に県民の生活を第一に。これが… https://t.co/St2NF2Td3x,[]
1,アフリカ発展へ協力／党国際委、在京大使と初の交流会／山口代表ら出席 #公明新聞電子版 2020年09月12日付  https://t.co/zDf04XouOS https://t.co/sxC4l7DtHU,[]
2,"公明党と在京アフリカ大使との交流会を開催しました。初の試みでしたが、新型コロナ対策、TICAD8の成功に向け、有意義な場となりました。大使の皆様、御礼申し上げます。

山口代表、斉藤幹事長、石田政調会長、古屋女性委員長はじめ国際委… https://t.co/mehufGWbK5","[' 平和外交のお仕事お疲れ様です。アフリカは谷合さんがアフリカで難民支援されていた時も、そして今も紛争地域があります。小さな子供でさえ子供兵として人を殺す事を教えられていると聞いた事があります。教育はと… https://t.co/FQ783LVVfJ', '）\nモザンビーク🇲🇿（モライス大使）\nベナン🇧🇯（アデチュブ大使）\nエジプト🇪🇬（カーメル大使）\nガーナ🇬🇭（オチェレ大使）\nセネガル🇸🇳（シス大使）\nチュニジア🇹🇳（エルーミ大使）\n南アフリカ🇿🇦（… https://t.co/EdfJcQ6gUG']"
3,公明党農林水産部会として、江藤大臣に対し、令和3年度予算概算要求に向けた重点政策提言を行いました。国産食料の安定供給、水田フル活用、輸出力強化に向け戦略的マーケティング、補正予算事業の経営継続補助金の予算積み増しなどを訴えました。 https://t.co/S1FkyqbnN3,"[' 谷合さん、北海道で待ってます❗️何かと宜しくお願い致します🙇', ' 電通の中抜きや\nユースビオの調査も\n要求して下さい。', '、真珠養殖業の声も伝えました。ちなみに品目別の輸出額（2020年1-7月）で対前年比で減少幅が大きいのが、ホタテ（-30%）、ぶり（-34%）、真珠（-85%）となり、いずれも水産物。こうしたことを踏まえて要望しました。']"
4,"昨日、公明党難民政策PTを開催。

東洋英和女学院大学の滝澤名誉教授、日本大学危機管理学部の高宅教授から難民認定制度や長期収容の課題について伺いました。

難民支援協会、なんみんフォーラム、日弁連、移住連、UNHCRの声も踏まえ、… https://t.co/FMRnO8KAd7",[]
