,tweet,replies
0,"今日の豊島竜王－藤井二冠、ほんとうに楽しみです。豊島竜王の4連勝中。「藤井二冠には、どうしても勝てない相手がいる」 という物語が続くのかどうか。

観る側としては、そういう物語、もうちょっと続いてほしい気もします。",[]
1,"Numberが何とまた増刷。これで当初予定の2倍の発行部数だそうです。

23万部以上の発行は14年ぶりとのこと。

編集長のコメント、喜びが伝わってきます。「読まれたら刷り返す、倍増刷です」「より一層喜んでいただける続編をつくっ… https://t.co/I0WwpGuPkK",[' @3gatunomikenek なんや、そんなこともしらんのか？']
2,"盤外でも棋士は将棋用語を使う！？(マイナビニュース)#Yahooニュース
https://t.co/iBz8cgKjGO

つい「味がいい、悪い」は使ってしまうかも。",[]
3,"「シュン」の日記主、NHKに不信感　認識に食い違い：朝日新聞デジタル https://t.co/xq6R9uXLFP

記事で色々と要約することがあるけれど、趣旨がずれてしまわないか、いつもビクビクしてる。嫌になるくらい怖いし、難… https://t.co/hFmWqUc7BD",[]
4,永瀬二冠の着替えは、もはやファンサービスの域に達している。本人は、とにかく将棋に集中しようとしているというところも含めて。,[]
