,replies,tweet
0,"[' 最近のマスコミは重箱の隅をつつくように難癖ばかりつけるんですよね！', ' じゃあ努力しない人は努力すればいいのでは。\nとにかく行動。私はあまり難しくないと思っています。', ' 分かりやすいですね。TV局のさらに上からの指令かな。。。', ' 【自助】 他人の力によらず、自分の力だけで事を成し遂げること。\n【共助】互いに助け合うこと。\n【公助】公的機関が援助すること。\nの意味なのに、見捨てるなんて意味は無いのだが捏造批判してる奴らの行為に呆れます。… https://t.co/CAvHCp0mrY', ' 自助自立は当然というか前提で、\nその上で、再チャレンジや、どうしても補助が必要な人には応じた保障を。\n民主主義はこうでしょ？\n\n野党は国民を総ヒモ化させたいの？', ' 努力してる人からの税金で、”やれる人”が努力もしないで報われる世界はどうかと思う。', ' 冷たいのではなく、努力するよう叱っているのです。\nこれを理解できるかかどうで、人生は大きく変わるような気がする。', ' マスコミを健全にしてください。我が国は法治国家です。違法放送を野放しにしないでください', ' @tarachan148 同じでは？…🤔\nhttps://t.co/MFtuXQZTw6', ' なんで努力した人としない人が同列？意味が分からない。努力して人より頑張ったからいい会社に入れていい給料貰えてイイ生活が出来る。それを何も努力しないバカが同じものを与えられると考えるのワガママというかただの僻みやっかみ。', ' 努力【しない】自称弱者が、\n様々な理由で努力【できない】弱者に迷惑をかけている事を具体例をあげて指摘しても差別主義者のレッテルを貼られる。\n正直者が馬鹿を見る世の中は絶対におかしいと思う。', ' 玉皮、李青木、高木、関口、浜なんとか、伊藤あつし、本当にコイツら狂っているとしか思えない❗とても日本人とは思えない❗マンセーニダニダ', ' 家の庭に草が生え過ぎた！\nよし自分で草刈りだ→自助\nやべえ友達呼ぼう→共助\nスズメバチの巣発見、これはやばい役所に連絡だ→公助\n\n普通はこういうステップになると思うのです\n公助公助言ってる人たちは家の庭が草だ… https://t.co/zQGlvYWu2I', ' マスゴミなんて陰湿な学校のいじめと同じ体質\n因縁つけて新しいターゲットを探すだけの簡単なお仕事', ' 自助努力してなにが悪いのか?', ' 立民の枝野もガースの自助共助公助を批判しながら、ガースと同じ事言ってんだけど、ワイドショーのコメンテーターは枝野には何も言わないの？枝野にしてもコメンテーターにしても、日本語不自由過ぎて呆れるわ。', ' 東日本大震災の爪痕深い中で民主党の野田総理も「基本は自助」と言ってましたけどね https://t.co/wMo51px2Tq', ' 努力しない奴が優遇されたら努力するのが馬鹿馬鹿しくなって、無知無能なだらけた人間ばかりになる。\nそれこそ共産党をはじめとするパヨクの目指す社会ですね。\n馬鹿を洗脳して幹部が大儲けする\nパヨクの思うツボ', ' 息をするのも自助です。転んでも起き上がるのが自助です。先ずはそこから考えましょう', ' 自己責任ではないから、公助があると思うのですがね。家族の障害を告げられ途方にくれたときに、公助があったから、とても助かり\nそれを頼りながら、自助をやるなかで\n途方にくれると公助。\n努力だ、自己責任だ周りは言っ… https://t.co/h9Y991JW3J', ' 国に税金を納めてるとはいえ、何でもかんでも「国に面倒を見てもらおう」っていう乞食根性はどうかと思いますがねぇ(￣ェ￣;) \n\n病気や怪我で「努力したくても出来ない人」には、努力してる人と同じフィールドに立てるような支援は賛成です。', ' もうスガガー、開始ですか？節操ないですね。', ' 武漢肺炎で客が来ないのは自助ではどうにも出来ないですよね。\nこれは公助でどうにかすべき。\n今の時期に自助を頭に持ってくるセンスはいかがなものかと。\n無論マスコミにそこまでの考えは無いのでしょうが。', ' 自助努力を前提に支援すべきだな…\n完全無職にナマポなんか渡す必要なんか無いだろ～\nアルバイトでも何でもして、足りない分は支援と云う形に…\n\n働いたら負けなんて冗談ぢゃない！o(^▽^)o', ' 働かざる者、食うべからず', ' 自民党の広報や菅官房長官支援の議員で自助→共助→公助の概念を早く国民に説明した方が良いのでは\n意外と知らない方が多いです\nご存知の通り、知ってるはずの東日本大震災時の官房長官だった方が印象操作の為に言い出した事ですから\n #印象操作', ' 安倍総理がびくともしなかったので、次の標的を菅さんに決定し叩き始めたんでしょうね。\n放送法の改定も必要では？\n無責任に煽るメディアは、表現の自由を逸脱していると思いますよ。', ' 言ってることを理解出来ないのにコメンテーターですからね\n\nこれからは脊髄反射で発言するのがコメンテーター\nちゃんと噛み砕いて説明するのが評論家、解説者でいいと思います', ' 努力しない人はそのままって当然だろって思いますが何が変なんですかね\n努力した人は報われる社会なら俺はそれで十分ですが\n\nでもハンデ持ってる人が努力するのを助ける仕組みがある社会なら尚良しですね\n是非お願いしたいです', ' コメンテーターさん達は自らを「私は共産主義者」\nと称している訳ですね\nスターリン憲法には「働かざる者食うべからず」と\nありましたが・・', ' 努力してないのに何か得られると思ってるバカは置いてっていいと思う', ' 自助・共助・公助\n\n#自助・共助・公助\n\nhttps://t.co/wMtzV5xdS3', ' 旧民主党政権時代は\n東日本大震災では公助はどうだった？特別会計を掠め取る与党議員の記憶はあるが\nそして努力した人も報われなかったと記憶している', ' 自助共助公助って主に災害等の突然の事案に使うべきものだと自分は思ってる。', ' 自助とは自己責任という意味ではないとハッキリ言えば良いと思います。\n自助を自己責任といいケチをつける方達は無知な阿呆でしかない。\n\n知らないなら、雰囲気だけで知ったかぶりしないで調べてから発言して欲しいものです。', ' 自民党の政策は、自由主義と言いつつ社会主義政策で計画経済です。規制緩和が多すぎ、新しい産業も新商品も生まれません。そして日本はデフレ30年を経験してます。\n過剰な擁護や保護で働かなくなる人が多い。仕事はあって… https://t.co/47XABkWR1R', ' 将来的には消費税増税とかは批判されますよ', ' 当たり前のことに「冷たい」ってどれだけ甘えたい放題なんだ。', ' 何かあったときに備える、ってのは当然だけど\n\n税金だけ巻き上げて、景気も給料も据え置きじゃあ備える余裕も無くなるわなw', ' 自助、共助、増税\n#スガノミクス https://t.co/LvVXw8haFb', ' 消費税増税、菅氏、いきなり大失言...']","朝のワイドショー。コメンテーターさん達が一斉に菅義偉総裁候補の発言を批判しています。
「自助共助公助は結局自己責任」「努力した人は報われるけどしない人はそのままってのは冷たい。」 
（ブログより抜粋）

https://t.co/pUvqG8GpUV"
1,"[' 白くまは夏に特に美味いんですよねー', ' 吹いた‼️\U0001f923\U0001f923😂\U0001f923😂\U0001f923😂', ' 石破氏、岸田氏の広告はやらないんでしょうか？菅さんが甘党なんて興味はありませ。\nインスタの方が似合う。', ' 売国奴', ' これはシロクマの高いやつだから\n庶民感覚が無い！\nとか言わないんですか？\nどなたか。', ' バーカ\U0001f92e', ' @YAMATO57117896 ちょっとイジクリ過ぎてない？w', ' この白くまアイス程度を「庶民にはちょっとお高いけど」と言わせてしまう日本にしたことは完全に無視して美味しく召し上がってらっしゃる。\nそしてそれを当然のようにヨイショできる面の皮の分厚さ。', ' 減税して国民を笑顔にしてください。\n政治家がアイス食べている写真見ても笑顔になりません。', ' おべっか', ' 騙されては駄目。アイス→アイヌです。', ' 馬鹿な事あなたは、ごくいい「おちり」です。', ' 杉田議員は節操がないですな。これであなたに何の信念もないことが証明されました。知ってたけど。', ' 太鼓持ち', ' お前もスガに媚びまくるのかw\nスガはスイーツを食べるしか能がないのかねえ\nところで河井あんりの件はどうなった？ https://t.co/MDcAQHGhEr', ' 白くま美味しいですよね❗️\nなんか嬉しいな😃', ' 私は減税で笑顔になりますね☺️\U0001f95e', ' アイスもいいですけど、アイヌはどうなりました？', ' で？', ' 練乳たっぷり白熊( ´∀｀)♪', ' 安倍首相はアイスはガリガリ君だったわけですから、より高級なアイスを食べている菅さんは安倍首相よりも偉い人ですね、きっと🤔', ' 初めまして。杉田議員、いつも日本の為に有難うございます。今韓国人達が旭日旗のことでフィリピン人モデルさんやイギリスのバンドを攻撃してみす。フィリピン人達は韓国の嘘を信じているみたいです。日本政府からなんとかして頂けないでしょうか？', ' 杉田さん、菅さんはアイヌ新法を推進された方ですけど、いいんですか？\n\n総理大臣になったら、大変だと思うんですが。', ' えーと、600円くらいします。死ぬ気で食い切れ！', ' 馬鹿にしてるツイートかと思ったら🐎\U0001f98cのツイートだった', ' え〜\u3000白くま知ってる\u3000関西じゃ馴染みは薄いのだが…', ' 生ゴミには蓋が必要です。とても高性能ですね。', ' 菅さんアイヌ推進派ですけど？杉田さんの政敵ですよね？まさかただのアピールじゃないですよね？', ' これは笑顔にさせてしまいますよ\U0001f970', ' @yamato_079554 白くまだね', ' 私も大好きです😄', ' 甘いものシリーズも結構ですが、アイヌはどうなったんですか？', ' しろくまはね(´・ω・`)\nこの後、手もスプーンもテーブルも\nベットベトにしてまう強者✨\n美味しいからまた食べちゃうけどね\n(≧▽≦)', ' 私も菅さんを応援してますけど、一連の甘い物好きアピールはもうお腹一杯です。もっと中身のあるツイートをお願いします。', ' しろくまじゃな。', ' 冷え〜！\n余計に滑舌悪くなっちゃうよぅ！', ' 予備予選の投票用紙が今日届きました。\nでも明日締め切りなので間に合いません😢\nでもポストに投函します。 https://t.co/iHZ8w2r2tB', ' 死んだ目の爺さんが無理に笑ってるだけにしか見えないんですが', ' お腹冷やさないようにして下さい。', ' @renoyoshitokisa このシロクマアイス美味しいのよね～😸\n一般庶民には、ちょっとお高いけど…🙀', ' 庶民派イメージを表す為にこの様なツイートはむしろ菅さんのイメージを悪い方に持っていくと思います。', ' 笑顔とかいいので総裁選で推せるポイントを教えて下さい。', ' しかもちょっとお高いヤツだw\n安いのは120円とか5個入り300円のもありますよ。\n白くまを食べたことのない鹿児島県民はいない！', ' いいねぇ国会議員さんは。アイスすら食べれない子供もいる社会なのに。', ' これが様になるのはスガさんだけ。', ' 何かメッチャ嬉しそうなのが伝わって来るんですよね ^_^', ' 甘いの食べてる時のギャップがw', ' @daril13862387 甘味と笑顔の初老の男性。\nこの組み合わせはとても癒されますね。', ' 竹中平蔵の手下を素敵とは思いません。', ' 新内閣のニックネームはスウィーツ内閣かな', ' 訴えられてる犯罪者予備軍がコメントしたら\n菅さんが困るんじゃないの？', ' こちらの発言は、女性へのセクハラや差別を肯定しているという捉え方でよろしいのでしょうか？ https://t.co/6V4XrrTf7f', ' 菅さんはやっぱり甘い物好きなんですね❗', ' 白くまアイス。売られているのも美味しいですけど、天文館で本物食べたいですね☺️', ' 「むじゃき」のミニ白くまの通販のものかと。私もたまに頼みます。\n\nこれがミニなんですよね。\n本物のサイズは恐ろしい大きさです。', ' 美味しそうですね😍', ' 間違いなく白くまです😊', ' 再チャレンジに叩き上げと若者へのメッセージも忘れないれいわおじさん。', ' れいわに匹敵する\n選抜だけど\n安倍総理ですら\n野党の攻撃でボロボロに\nされたのに\nこの\nお爺ちゃん\n見たいな人で大丈夫なの？\n杉田議員も\n野党攻勢や\n合法と言えない民間団体に\n酷い目に遭わされたと思うけど\n政… https://t.co/aLMPhmwWIr', ' しろくまは、鹿児島市の天文館の店のものが豪華で美味しいですね。', ' スイーツ男子', ' 杉田大先生の笑顔が1番素敵ですよ！', ' 水曜どうでしょうを思い出してしまいます', ' いつもの粛々おじさんじゃない！笑', ' 甘いものシリーズ、次は何でしょう。', ' 屈託ないですよね。\n子供、動物、菅さん。', ' コンビニで買お！', ' 比例候補から外されないように必死ですね\U0001f923\U0001f923\U0001f923\U0001f923', ' 白くま美味しいですね👍良い笑顔', ' 腕力で左遷させた官僚から\u3000官僚支配を\nﾘ~ﾀﾞ~ｼｯﾌﾟと勘違いと\u3000苦言が。', ' 鹿児島の白くまですね。\n\n白くまの他に、\n\n秋田のキリタンポに、\n神戸の神戸牛が食べたくなりました。', ' パンケーキから\n白熊ってニックネームに\nなりそうでワクワクする', ' 白くま\u3000美味いぞ😋', ' なんか、嫌だなこういうの、、、、', ' 👏( ˊᵕˋ*)ﾊﾟﾁﾊﾟﾁ']",これ、白くまですよね？思わずつられて食べたくなってしまう笑顔、素敵です😊 https://t.co/2MPJwprVRt
2,"[' アイヌ事案はビジネスです。国民の税金をむさぼるという。しかもそれがＮＣ国に流れているかも。大変深刻なことです。', ' お疲れ様です！', ' 今日も減税\u3000明日も減税\u3000令和の大減税！\n\n杉田先生、毎日暑い中お疲れさまです。\n写真のルイヴィトンのバック、めちゃかわいいやん。杉田先生ってさりげなくオシャレなんよなー。', ' そばに六甲のおいしい水さすが郷土愛。', ' ホントにお願いします。2008年から歪んだまま、現代の選ばれた貴族「アイヌ」とはどういう人たちなのか、その定義を、政府もメディアも説明できない異常。リカとミズポがたかっている、みんなで正そう。 https://t.co/LvCL0Tc5T1', 'も「全国で山口県だけ」と驚いていらっしゃいました。元々憲法改正に熱心に取り組んでいる山口県ですが、今後そのスピードをますます加速していきます！\n続いて行われた記念講演の講師は我らが井上 和彦先生。自衛隊の方々が… https://t.co/SBGdF3eYSn']","青年局・女性局主催の総裁選挙公開討論会には山口事務所からリモートで参加。
その後、地元の中国新聞から安倍総理辞任についての取材を受けました。
急いで移動し、山口県国民投票連絡会議　設立大会へ。この会議の特徴は、山口県下の自治体の首… https://t.co/ob4E3EM71f"
3,"[' 子どもを産むメリットの減少を本気で考えないと…', ' ぶっちゃけもっと早かったら家も\nですがそれ故\nこれからの助かる方が多くいると思われます\nお願いします', ' マジで頑張ってください！このままでは、続けていけないとホントに思ってたところです', ' 外国人は除外をお願いします。ヨーロッパで出生率増加は、外国人の出生率が増えた為。ヨーロッパの轍を踏むな。', ' 子供を育てて一番お金がかかるのが教育費です\n特に塾代や大学の下宿代\n義務教育ではありませんが\n外国人の生活保護費や一時滞在外国人の国保加入に係る経費より\n真面目に税金を納める日本人の子弟の教育に税金を使って欲… https://t.co/WPrnTFMIsp', ' 良いと思います。ただし科学的根拠に基づいて男女ともに年齢制限を設けるのは必要だと思います。', ' @munakatazin 不妊治療費と合わせて、妊婦の検診費用もなんとかならないですかね。いくら券があっても、なんやかんやと毎回5000円近く出ていくんですよね。爺様婆様ばかりに回す金があれば、少しでも若い人… https://t.co/WagNVkGvaO', ' 外国人留学生への補助金や生活保護費、朝鮮学校の補助金を少子化対策にドンドン回して下さい。', ' 1クール120万と聞いたことあるd(^_^o)何割かの補填でも無いと厳しい現実', ' 杉田先生、いつも国益を考えた行動に感謝いたします\n\n不妊治療の保険適用も良いでしょうが、若い方々の結婚を後押しできる政策も考えていただければと思います。全ての女性が社会に出て輝くと晩婚化は否めません、昭和の時代は子供がいっぱいいましたよ。', ' 結婚以前に、奨学金の返済に追われ、将来への金銭的な不安から結婚に二の足を踏む若者も多く居ますよ。\n晩婚化が少子化の要因の一つではありませんか？\n\n若年層ほど金銭的に苦しんでいますよ。\n先が見えない社会に不安が… https://t.co/o3g8qNYGi8', ' 事務局次長という割には実績ゼロでしたからね🤗\nあなたが嬉しいのはやっとご自身の実績をアピールできる、という点だけだったりして😁👍', ' 竹内久美子先生の精子競争からすると、地球上のすべての生物は淘汰の歴史やから、不妊治療せな子供ができやんのやったら、自然に任せたらええのにと、ワイは思うけどな。よう知らんけど。', ' ネトウヨ議員❗️お前はLGBTの人達に謝罪して早く議員を辞めろ❗️', ' 現在2人目不妊で通っていますが、クリニックには日本語通訳を付けた中国人が沢山います。本人は全く日本語が話せない人ばかりです。このような日本に住んでるのかもよくわからない中国人にも適応されるなら喜べません。日本… https://t.co/7pcQaq2Dse', ' 知人が正に不妊治療中です。\n赤ちゃんを切望しています。\n若い二人の希望をぜひサポートして頂きたいです。', ' 日本国籍を持っている人限定という条件付きでお願いいたします。', ' 晩婚化の促進になりませんか？\nhttps://t.co/nm8Fl3iph0', ' ところでさ、\n杉田水脈議員はアイヌ協会の問題はどう考えてるの？\n大高未貴さんがアイヌ協会にはチュチェ思想研究会が多数入り込んでることを菅官房長官とあなたに講演で言いましたよね？\nそのときのあなたの答えは「国連… https://t.co/8Rc4xj1qCY', ' BBCのアイヌに関する記事です。\nこれが事実ですか？\n自民党がやっているアイヌ政策というのはこんなことを世界に発信することでしょうか？\nhttps://t.co/LJ6dl2SfVn', ' 経済的な理由で不妊治療を断念した者としては実に嬉しい。', ' 外国人への出産育児一時金の支給をやめてください。\n少なくとも、一定期間以上日本在住で今までに一定金額以上の健康保険料の納付が確認できる人だけにしてください。\nこのままでは日本が世界に誇る素晴らしい国民皆保険制度が破綻してしまいます。', ' 併せて男女の妊娠適齢期をしっかり周知してほしいです。\n何の為の性教育でしょうか。\nそして、保険適用は日本国籍を有する日本人限定でお願いします。\n少子化対策として外国籍の子供が増えるのは、やはり違うと思います。\n差別ではなく、区別を。', ' ウポポイはなんであんなに税金使ってるんですか？\n自公政権は何故アイヌ協会の意見だけを採り入れるんですか？\n何故協会を辞めた人の意見を聞かないんですか？\nアイヌの定義も先住民族の定義も決めていないのに何故アイヌ新法が成立するんですか？', ' @Gai045 若者の可処分所得を増やす政策もセットでお願いします。必要なのは減税です。', ' 合わせて、産科医師の育成にも尽力いただきたいです。出産出来る病院も減ってきているのが現状です。', ' 女性蔑視発言連発のインチキ議員が、よく言うよ！それにしても、「次」への切り替えが、素早い！', ' 私は中絶反対派ではありませんが\n\n自然に発生した子供達を親と国の都合でお腹の中で殺す同じ国で、人工的に発生させる子供に税金で報奨金を出すのは、出自に対する酷い差別なのではありませんか？\n\n不妊治療に税金を出す… https://t.co/ZSkY9wVEIt', ' 良いことだと思います。\nですが、日本国籍限定でお願いします！怪我や病気とは違います。\n日本国籍の人口を増やす為なら、日本国籍限定でお願いしたいです。', ' 不妊治療以前に、初婚年齢の低下と未婚率を減少させる必要が有るのでは、40過ぎたら無駄金。\n不妊治療の助成に反対はしないが、対象年齢と回数は、或る一定の限定は必要。', ' 外国人が気軽に不妊治療や出産費用を日本人の保険費用から支払ってもらえる制度になるそうじゃないか？これは絶対ダメだ！外国人の保険適用を全面的に排除してからなら大賛成だが、日本人ファーストが大前提だ！ウポポイ北海… https://t.co/YoVCIrwfZw', ' しかし多子化政策にはなり得ない、不妊治療を始る女性は35歳以上が多く総人口を減らす速度を遅くする効果しかない、女性の人生航路を高等教育18歳終了コースと男コースに分けて若いうちに出産子育てを終えた再教育・就職… https://t.co/NX4J7seSyA', ' さすがに菅氏不妊治療の保険適用細かいところまで目配りが効く。', ' 三人子どもを生む家族が増えないと、少子化は解消されないですよね。。。\n\nこのまま少子化を放置していたら、警察官や消防官、自衛隊にも外国人を採用する時代がくるのでは？\n\nhttps://t.co/ieSKA4yeg1', ' 外国人(中国、朝鮮人)にたよらず\n人口を増やす方法を真剣に考えて欲しいです‼️', ' 男女共同参画の予算を少子化対策予算に遣えばいいんですよ', ' 素直に喜びたい。\nそれと合わせて、\n健康保険の未納者への厳格な対応も、よろしくお願いしたい。特に外国籍･･･', ' 制度の主旨には賛成ですが、もう手遅れになった氷河期の同世代のことを思うと、無邪気に喜べない。\n国としては10年遅いですよ。\nまあ杉田さんをなじるつもりはありませんけど。', ' うちは不妊治療60万程度で何とか子宝に恵まれた。\n普通60万円といえば庶民的に大金なのだが、それを「60万円程度」と言えるほどこの治療は金がかかる。\n今までも助成金等もあって出来うる補助はしてくれていたのだろうけれども、保険適用は是非実現してもらいたい。', ' 生物の最大の使命は命をつなぐことではないでしょうか。\nそれを担える可能性のある方々に予算の重点配分は当たり前では。私の様な年寄りは後回しで良いです。', ' 杉田先生！\n流石、菅先生ですね。', ' 日本国籍に限るが明記されないと指示はできない', ' @0041toma 結婚しお互い仕事をしてきて一段落ついたとき、いろいろと見つめ直す機会に出産も選択肢に入れ易くなることはいいことだと思う。', ' 中国人の治療ツアーが起きないように、ルール作りをしっかりして下さい、', ' 河合あんりの公判で、１億５０００万円の件も証言され始めたね！', ' ちょっと意外でしたが、\n少子化対策の大きな一手ですね。', ' 連れもいないおっさんですが、\n少子化には心配しております。\n一番の問題はメンタル的なモノだと思うので、\nそれが軽減出来るような政策を\n実現して頂きたく思います。', ' 対象は日本国籍限定でお願いします。', ' 少子高齢化問題は待ったなしです。\n次の世代に日本を繋ぐためにも是非実現して欲しいです。', ' 大阪維新の会の政策にも相通ずる気がする、さすが地方行政からの叩き上げ現官房長官にて総理候補', ' #菅義偉\n\n応援します📣', ' 政治が動き始めている・・のか？', ' 言うのはタダですね。\n責任感ないんで。 https://t.co/Q7R2H86FJz']",￼￼昨日の所信表明演説会で、一番ビックリしたのはこの件です。議連にも事務局次長として参加し、力を入れてますが、実現への道は長いなと覚悟していました。素直に嬉しいです！ https://t.co/9UowGKlM8F
4,"[' どうでもいいけど\n\n暴言\u3000暴走\u3000&amp;デマ拡散\u3000議員\u3000辞職はまだか。', ' 少々寸足らず感は有りましたがとても良い試みだと思います。', ' お疲れ様でした👏', ' @duffy567 菅さんの政策のどこに賛同して、応援されているのですか？何をもって、自民党総裁にふさわしいとお考えですか？', ' 杉田大先生お疲れ様です！\n杉田大先生の推しメンは菅くんですか？', ' ワクチン、イベルメクチンについて議論してください']","この後13時〜です。
私もSNSで参加します！ https://t.co/MUXKQFMjNk"
