,tweet,replies
0,私は、立憲民主党との合流新党には参加しないことを決断いたしました。「改革中道」を旗印とする国民民主党の理念と政策を誇りに思っており、この考え方を引き継ぐ政党で、自分と志を同じくする仲間と共に歩んで行く決意です。,"[' @GGkh2x 支持します。', ' それは国民に対しての責任放棄です。こんな大事な時に臨戦逃避…', ' この国難の時に腐敗した自民党政権を倒すことが今の国民にとっての大同だと思います。小異を捨てて大同に就いて、欲しいと心から思います。個人の思いではなく、国民の思いを国会に伝えるのが、議員。伝えられない議… https://t.co/y9CDH1xcYv']"
1,"この度の静岡４区補選、残念な結果となってしまいましたが、ご支援頂いた皆様にまずは感謝申し上げます。

田中けんさんは選挙の翌日より街頭に立っていました。これらも、私たちは田中けんさんと共に頑張り続けます。

引き続きのご支援よろし… https://t.co/IUPSlq9tdN",[]
2,"本日いよいよ最終日です。
期日前投票も最終日。

いのちを守るため、くらしを守るため、未来をつくるため
投票用紙には #田中けん42才  と
お書き下さい。

大切な大切な一票です。
必ず投票をお願いいたします。

#静岡4区補選 https://t.co/2YmVvwYnuh",[]
3,"毎日が投票日です。
お近くの期日前投票所へお出かけ下さい。
投票用紙には #田中けん42才 と、
年齢まで忘れずに記載をお願いします。 https://t.co/XoDotdhW6Z",[]
4,"#静岡４区補選 本日より #期日前投票 がはじまった地域があります。
今回は移動期日前投票などもあります。持参した鉛筆での投票も可能です。
自粛の中ですが、各投票所様々な対策をとっていただいております。
こんな時だからこそ、皆様の… https://t.co/HpR4Y5b5aV",[]
