,tweet,replies
0,昨日、緊急事態宣言の一部解除などの政府対策本部決定に先立ち、安倍総理と電話で会談しました。第２次補正予算に関し、私からは与党あるいは公明党が提言をしている学生支援や家賃支援について、第１次補正予算の予備費を活用することを含め、スピ… https://t.co/YUnvqPkStn,"[' 連日暑い中ご苦労様です。雇用の事で要望させて頂きます。コロナの影響で会社が閉鎖になり解雇になりました。前職を退職してから3年経過しないと\n再就職手当てが頂けません。辞めたくて辞めた訳ではありません… https://t.co/HbAKPIfsMr', ' ちゃんとしたニュース報道と\nシンプルにわかりやすく\n真実を話すトランプ大統領。\n\nこれが、\n\n日本政府、メディアは\nできない、やらない、\nやれない。。。\n\n国民は\n知らない、知れない、\n知らされな… https://t.co/keinAX5hyI', ' 憲法改正阻止のこだわりすぎでは？この流れがなくならないと国民がしいたげられたままです。 https://t.co/qOZEIsijcb', ' 維新が大阪で与党になり福祉が切り捨てになりました、自公の\n票がほしいだけ連立りだつして自民若手て新党結成してください\n福祉を良くするため結党されたのに国がおかしくなります', ' 電磁波被害で一睡もできず。先生、電磁波被害を無くしてください。電磁波対策お願いします。', ' 習近平来日反対。憲法改正賛成。', ' ""ポンペオ国務長官「中国共産党は長年にわたり、中国にいる米外交官の行動を大幅に制限してきた。本日、国務省は米国に滞在する中国人高官への承認制度を設置し、大学訪問と自治体役人との面会が対象となる。」… https://t.co/V5YP4tXFEH']"
1,第２次補正予算に向けて、公明党は既に具体的な提案を行い、与党としての合意をつくってきました。野党の意見も受け止めながら、国民の理解が得られ、また効果のある内容に、スピード感を持ってつくり上げていきます。また第１次補正予算の予備費で… https://t.co/QhGQUf88Sv,[' 電磁波被害で一睡もできず。先生、電磁波被害を無くしてください。電磁波対策お願いします。']
2,今後の感染状況に国民の懸念の声が多い中、緊急事態が解除される地域が出たとしても第2波を招くことがないよう、またその波が低く短く抑えられるよう対策が必要です。連休明け以降人の動きが増えています。こうした動きと感染の動向をよく見て国民… https://t.co/3f9EZYFgDY,[]
3,新型コロナにより困窮している学生への支援について、わが党も提案し、きのうの予算委員会でも議論されました。これは予算の規模から見て予備費で十分に対応できるので、いたずらに時間をかけることなく速やかな実施を望みたいと思います。,[' 電磁波被害で一睡もできず。先生、電磁波被害を無くしてください。電磁波対策お願いします。']
4,検察官の定年延長を含む検察庁法改正案の趣旨が国民に伝わるよう、政府として丁寧に説明していただきたい。検察官は一般職の国家公務員でもあり、一方で司法の担い手の一翼でもあることを踏まえて制度化を図っているという趣旨がよく理解できるよう、説明責任を尽くしてもらいたいと考えます。,[]
