,tweet,replies
0,"本日から臨時国会が始まりました。今国会の会期は12月9日までの会期で行われます。皆様のおかげでこの日を迎えることができましたこと、心より御礼申し上げます。
https://t.co/qkuhappQtd
#自民党 #星野つよし https://t.co/bLCMIdWzk9",[]
1,衆院選神奈川12区での選挙区選挙では、惜敗をきっしましたが、比例代表選での議席をお預かりし、政権与党の中で3期目の衆議院議員として活動できることとなりました。大きなご支援をいただいた皆様に感謝しております。開票日を襲った台風被害対応等でご報告が遅れましたこと、お詫び申し上げます。,[]
2,"安倍総理「日本の未来、子どもたちの未来を切り拓くことができるのは私たち自由民主党と公明党の連立政権であります、そして星野つよしであります！」
皆さんのお力で星野つよしを国会へ送り返してください！星野つよしを宜しくお願い申しあげます… https://t.co/68NJlsaPmm",[]
3,選挙戦最終日を迎え、最後の街宣は藤沢駅南口で行わせて頂きました。応援弁士には、菅官房長官がお越し頂き、地元の県議・市議・町議の方々からも、最後のマイクリレーを頂きました。明日は投開票日です。皆様のお力添えを、どうぞ宜しくお願い致し… https://t.co/jRouxxJzKH,[]
4,"安倍晋三 総裁による 星野つよし 候補への応援演説 フルバージョン 2017年10月20日 藤沢駅南口ロータリー
https://t.co/upPG7FnyT6 #神奈川12区 #星野つよし #安倍総理 #安倍晋三 #自民党",[]
