,replies,tweet
0,"[' @kishida230 岸田さん、出産費用は殆ど負担になりませんが、子育てにお金がかかるんです。。でも日本人お金持ってないんです。減税出来ませんか？性教育もしていただかないと、望まない妊娠、neglectの問題もあります‥。', ' 3 コロナでの今迄の３月から９月の\n    7ヵ月分の庶民の給料損失を\n    補填する気持ちはありますか？', ' @kishida230 ＃生キッシー\n広島出身の首相は加藤友三郎氏、池田勇人氏、宮澤喜一氏がおられ国民から解離しない、国民と共にある政治、その為の政策を実行しようとした印象がありますが、これは岸田さんが主張… https://t.co/GiJ2vsAr3H', ' 2 地球温暖化対策の為に植林や\n   砂漠を緑化する気持ちや\n   そこへ赤字国債を計上しても\n   未来への投資が出来ますか？', ' #生キッシー\n3つあります。\n1 インフラ 又はユーティリティ という\n   社会基盤の 電気、ガス、\n   水道を途上国の 南アメリカ諸国、\n   中東諸国、南アフリカ諸国、\n   アジア諸国に与える 乃至は整備する\n   気持ちはありますか？', ' @kishida230 少子化対策、産んだ人にしっかり支援して下さい！！\u3000第2子より第3子、第3子よりより第4子と累進的に、ダイナミックに少子化対策に貢献した人に対して子育て手当を厚盛りにして下さい。月50… https://t.co/YxnLXHShd2', ' @kishida230 一般人から見て、特措法は多少詰めが甘くても、すぐに改正して施行するべきだと思うのですが、可能でしょうか？\nまた、このコロナ騒動の中あなた方がボーナスをもらって、医療従事者の方々の給与… https://t.co/iTYrSM8Ssy', ' @kishida230 増税大好きなイメージしかないのがなぁ', ' 慰安婦問題につき、\n「韓国が納得するまで謝罪し続けるべき」\nなどと発言した石破茂氏など、\n国民として決して認めることはできません！', ' @kishida230 楽しみにしていますwww', ' @kishida230 明日が楽しみです😊。', ' 何でブルーリボンバッジつけないんだろ。日本人の味方なのかどうか分かりません。', ' @kishida230 ＃キッシー\n＃岸田総理  誕生応援してます！', ' トルコが開発中の黒海油田の原油を輸入する可能性はありますか？', ' @kishida230 ご苦労様です🙇\u200d♀️\n頑張ってください👍 https://t.co/1HDsfoTos4', ' キッシーのニックネーム、、、\n綺麗な女優さんが頭に浮かびます']","【#CafeSta】9/10(木)19:00〜20:30
#自民党総裁選 #岸田文雄 総裁選特番
「 #生キッシー が全て答えます」
出演：岸田文雄 候補/小野寺五典 議員/平井卓也 議員/木原誠二 議員/国光あやの 議員
Twi… https://t.co/kipkQw83qe"
1,"[' 始まってすぐの2つ目の質問が、石破さんってキュートですよねだったからそれで見るのやめた。', ' スペシャル自民島は？島流し？', ' ためにならんから、ヤメレ！', ' いま困ってる中小企業経営者も出すべきでしょう。']",【総裁選CafeSta】石破茂スペシャル第二弾「政治ITメディア若手社長3人×石破茂」(2020.9.9) https://t.co/D9u8VsTwcv
2,"[' 私は自民党員(東京都連)ですが、予備選挙用の返信ハガキを投函しました。\n\n私は、「 菅 義偉 」と書きました。\n\n安倍総理の干支(えと)はウマ年🐴ですが、菅官房長官の干支はネズミ年🐭です。\nウマからネズミへ、が良い感じに思いました。', ' 安倍晋三は子供がいないんだ❗\n\nだから子供の世代が、どうなろうと知ったこっちゃ無い感じの政治してたわけだ❓️\n\n子供を育てる苦労も知らないのか？男としては半人前の奴が総理やってたのかよ❗\n日本もおかしくなるわけだ❗']","【#自民党総裁選】9月10日(木)のスケジュール
￼
📹マークがついている予定は自民党公式のTwitter、Facebook、YouTube、niconicoでライブ配信いたします。ぜひご覧ください。

#総裁選 #総裁選2020… https://t.co/nzshEzJxbM"
3,"[' YouTubeで拝見させて頂きました。今まで、私自身政治に無関心で、このような討論会は見たこともなかったんですが、配信で都合の良いときに見れて、政治家の本気の討論に触れると、無関心ではいられなくなりそうです… https://t.co/n95JUmZ3EE', ' 菅に決まってるようだけど、はたして総理が務まるかねぇ？とても国の舵取りができる器にゃ思えないんだけどwお前らの利権や保身が絡んだ基準でヘッポコ総理を勝手に選ばれても迷惑なだけなんだよ！', ' 総裁選も良いけど国民の事を少し考えて欲しい、次の選挙負けますよ', ' 何故、石破と岸田はブルーリボンを着けてないのか？\nその時点でこの二人を総裁選から外すべき‼️\n拉致被害者の奪還など考えていない者に、我が国を守ることなど出来ん‼️国民を守る事もだ‼️', ' いらないよ犯罪ばかりのお前たちは！！\n＃自民党\u3000＃消滅させるべき\u3000＃森友学園\u3000＃加計学園\u3000＃桜を見る会\u3000＃黒川定年延長\u3000＃集団的自衛権\u3000＃自衛隊員５０名自殺ってなんだよ\u3000＃ホテルニューオータニ https://t.co/KoY2YHQ7QC', ' @seinenkyoku 新たな選挙戦❓派閥投票だから何やってもムダ。', ' 選挙戦の在り方以前に、自民党は政策への取り組み方とか考えるべきでは？\n\n「PDCAサイクル」とかご存じですか？\n計画おざなり、根回し抜きで唐突に実行、結果の検証はせず評価は手前味噌、改善なんて影も形も見えま… https://t.co/KldeQe6gsN']","【#総裁選 公開討論会 開催】
9月9日、3候補は党青年局・女性局合同で「総裁選挙公開討論会」を開催し、全国の青年局・女性局、学生部代表からの質問に回答。
ウェブ会議を活用し意見交換を行う等、新たな選挙戦の在り方を示しました… https://t.co/Eh9fCDzFiJ"
4,"[' お前ら自民党は腐ったミカン🍊だ。', ' 併せて見ておきたい、れいわ新選組 山本太郎の街頭討論会。\n\nhttps://t.co/Sa2nlM5A0F', ' 自民党の行末を考える上でも、同時間帯に開催された合流新党の共同討論会も見ておきたい。\n\n「合流新党」代表選立候補者討論会\u30002020.9.9 https://t.co/3r80D7nUQc @YouTubeより', ' 「接続が悪いようですので、質問を代読いたします」(^▽^)/\n予定調和、緊張感ゼロの原稿読み読み「討論会」ですかあ。いやー香ばしいですなあ。恥ずかしくねーのかよ、自民党。', ' お願いがあります。とても忙しくご尽力いただいている お医者様に リフレッシュ休暇がとることのできますように。お医者も人です。休める状況をお願いします🙇⤵️', ' 三人の方々の話が聞けてよかったです。ありがとうございました。', ' とてもいい試みだと思います。\n核心的な質問に対して応答時間が短く最後まで聞けないのは残念でした。', ' 改革するなら、先ずは女性局を無くしてほしいです。未だに女性だからと、一政治家として自覚のない女性議員がいるので、特に廃止してほしい。', ' 答を尋ねたら、問題の解き方の手引きについて発言する後ろから撃つお方。\n\n相変わらず回りくどい。', ' 文春砲 https://t.co/py9Zn2kD8F', ' 民主党の討論会にぶつけるとか姑息。', ' 少子化を止めるなら日本国内の日本人大学生、専門学生が借金漬けになって社会に出ていくのを何とかして下さい。\n\n数百万円の借金背負って、【結婚・出産】という未来像なんて持てますか？\n\n文科省の留学生支援について… https://t.co/k6sOyzsGqW']",自民党総裁選党青年局・女性局主催公開討論会（2020.9.9） https://t.co/PtjCjiZV9W
