,replies,tweet
0,[' 全て言いなりならなんの意味も無いよね。\nフリーハンド与えなきゃ。'],"退任される鈴木長官と同じく、誰もが納得するベストの人選。来年の東京大会を控え、スポーツの素晴らしさを一層広めていただきたいと思います。

スポーツ庁の新しい長官にハンマー投げの室伏広治氏 就任へ https://t.co/Qo9DCDlp08"
1,"[' 消費税を10%にするんですね。\n\n菅さんは頭のボケてる老人なので、早く政界から引退してください。\n\n次の選挙では自民党には投票しません。\n\n菅さんのせいで国民が貧困化して自殺者が増えます。\n\n#自民党には投票しない\n\n#消費税廃止\n\n#自民党に殺される', ' 減税']","先日の「辛坊治郎 ズーム そこまで言うか！」出演の際お話ししたことは、radikoのタイムフリーでまだお聴きいただけます。再生開始から24時間以内にぜひ。#総裁選
https://t.co/ePrV21RqnZ

自民・石原元幹事… https://t.co/9zGjaDz5RI"
2,"[' 菅さん\u3000国会答弁\u3000全然できないんじゃないの？自衛隊のこと、消費税のこと\u3000フラフラしてるようだけど、こんなんじゃ相当\n荒れそうよ', ' 石原伸晃衆議院議員様👑\u3000畏まりました\n新菅総理大臣様👑\nに決定は間違い無いです→北方領土返還に\nご尽力されて、返還と成る為に総理大臣に\n成った理由がある又、消費税増税は、少子化の為にとコロナ感染対策に多… https://t.co/QekxhGSux3', ' 菅さんしかいません。', ' 頼む。頼むからお前は黙ってくれ！\n財務省大好き馬鹿は、頼むから黙ってろ！馬鹿息子！', ' 勝手に決めつけるな💢', ' 減税']","コロナ禍を乗り越え、わが国の未来を拓くことのできるリーダーはやはり菅さん。菅義偉官房長官への支持を広げるべく力を尽くしていきます。予備選挙の投票をお忘れのないように。

自民党総裁選 3候補 支持拡大へ 活動続く https://t.co/vcdyaJlwG4"
3,[],"東京都の党員の皆さんによる総裁選挙の予備選挙の投票締切は明日11日（金）銀座局必着。ぜひ今日中に投票用紙の投函をお願いします。
#総裁選 #総裁選2020 https://t.co/ATzrIzM2Qt"
4,"[' デフレ脱却、消費税減税を議論しなければ次回の選挙は票を減らすかも。\n3候補のデフレに対する認識は如何に？', ' 不妊治療に熱心な議員多し。男は７０代でも子供作れる人結構いるのに、人生百歳時代迎える女性が折り返しも全然来ないうち子供作れなくなるのは社会に合わない。IPS卵、どんどん卵巣に叩き込めば生理再開子作り出来るんじゃないか！研究者頑張れ、と思っています。', ' 同感です！\n昨日、菅先生に投票して参りました。', ' 減税しろ。\nどうせ、保険適応にするから、その財源で、とかいう名目で増税するだろ？\n\n自民党なんかもうウンザリだ。\n有権者は絶対に騙されるな。', ' 今に手を差し伸べる事は勿論大事ですが、なぜ少子化の国になってしまったのかを正しく理解して、子供を産もうと思える国に戻す事を政策として頂きたい。', ' 減税', ' こちらの記事の菅さんの回答では、女性の社会進出は、まだまだ無理そうだと思いました。\n結局、子育ては女性の役割という視点から抜け出せていません。\nどうしたら子育て世代の女性が議員としても活躍できるか、真剣… https://t.co/Zf0eDv2KZz']","不妊治療の保険適用を実現するという言葉に、子供を生み育てることを望む世帯を助けたいという菅さんの熱意を感じました。少子化と闘うリーダー、菅さんを全力で応援していきます。

菅氏、不妊治療の保険適用に意欲…岸田・石破両氏と自民総裁選… https://t.co/EULOScNwCr"
