,replies,tweet
0,"[' 野党共闘、応援しています。\n自民党のままではどんどん人がしにます、、、\nコロナ禍ですら、中抜きの機会としか捉えていない政権を、一刻も早く終わらせてください。\nそれが最優先です。\n共産党ともしっかり共闘… https://t.co/lKqoeyGI5V', ' 決まった事に従う。と言う発想は間違っていると思います。', ' 頑張ってください', ' やはり茶番がすぎる！分離したり結合したり、有権者を馬鹿にしてる！そんな新・立憲民主党、そして、党首決定。あまりにも悪ふざけがすぎる。泉さんであるべきところをえだのんか？！あ～、残念！だから私は野党は玉木さんんとこを支持します。', ' 関さん、選管だったんですね😊\nお疲れ様です！\n\n青いスーツは、目立ちますね🤔\nちょろっと出ただけで分かる。\n\n立場的に1番大変かもしれませんが、力を合わせて頑張っていきましょう！', ' 泉代表にならず残念ですが、消費税凍結を公約にしましょう！\n#消費税減税', ' 街頭に立って\n日に焼けた\n関さんの姿は\n言葉よりも\n語るものがあると思います。\n\n日本を、豊橋を、\nよろしくお願いします😁', ' 合流に至るまで、そして投票に至るまで様々な思いがあってのことだと思います。\n枝野さんが仰ったように、あくまでも「ガバナンス」は合意形成された後のことです。それを大事にしつつ、合意「前」の部分では自由闊… https://t.co/toCbHZbqM1', ' 新人議員の関健一郎さんに責任は全くありませんが、もう分裂しないでください。まとまるためには、関健一郎さんがキーマンだと思います。', ' 頑張ってください！前向きに！']","新党の党名・代表選挙は、
泉健太候補
民主党に投票しました。

枝野幸男新代表
立憲民主党になりました。

就任会見で枝野代表は、まとめる力が必要だと述べました。

私達は、いえ、私は、まとまる力が必要だと心から思いました。

議… https://t.co/Bl15iBS4aS"
1,"[' これも見ましたし\nニュースeveryも\n見ましたよ。\n\n議員として、家族の長として\n悩まれたんですね。\n\n個人的には残念な決断だったのですが\n家族背負って\n男が決断した事に対しては\n無用な批判をするほ… https://t.co/8hR7p0pQx8', ' なんだ、結局玉木さんに着いていかずに裏切ったのか。議席のために集まるから、国民に期待も支持もされないのに。まーた、フラフラして烏合の衆ができたとしか思われない。\n5％+1％は6ではなく、3％です。さて、分裂するのはいつですか？半年？一年後？', ' @Tsumura_Keisuke 合流新党は衆院選の事を考えてますでしょうか？\n自公は菅さんに勝たせるのは衆院選での大勝が第一の目的だとも言われております。\n\nこれに対抗するにはどうすべきかを。', ' 民主党政権ができた時と同じ手法ですね。\nもう騙されません', ' 合流新党にひとつだけ苦言。\n野党が不人気で選挙に勝てない根本的な誤りがある。\n君らはチャンスとなると野合する。ピンチになると分烈する。\nその無節操さの一番の悪影響とは、これから伸びていくはずの小さい種… https://t.co/X8lXYoKX8B', ' 泉さんは正直知らなかったですが、ブルーリボンバッジを付けてるので、とりあえず信用してみます。ご存じだと思いますが、ネット投票(民意)は枝野5500、泉37000です。ご参考までに。', ' 関さんお疲れ様です。\n恥ずかしながら候補者討論会を最初から最後まで視聴出来るところはどこでしょうか？', '番は、届出順です。', ' 泉代表のもと、消費税凍結を公約にしてください！\n#消費税減税']","新党代表選挙。

候補者討論会。一度、一度でいいので、最初から最後までぜひご覧ください。

それでも期待が持てなければバッサリやってください。

泉候補も枝野候補も、全ての参加する国会議員も、その覚悟でやっています。 https://t.co/76BlGwAARN"
2,[],"８月から始まった炎の街頭祭り🔥

おかげさまで三桁💯

一番嬉しいのは、通りかかった人が、見たよってメッセージや写真を送ってくれること😊

心折れそうな時、元気になれます😃 https://t.co/Z7jCsdjSRp"
3,"[' 衆議院選挙の争点は右か左か？ではなく、\n緊縮か半緊縮か？\n新自由主義の推進か阻止か？\nだと思います。', ' せき先生。お疲れさまです。\n大阪の、洗濯すべき事例を見つけ、驚愕しております。\n\n先日は「地方公務員の勤務時間内政治活動を制限」に賛同頂きありがとうございます。期待しています。\nhttps://t.co/Y40D3s62ot', ' 合流新党に行っても関さんは応援します。\nですが、合流新党は絶対に応援しません。\n国民民主党は神津会長の私党では、ないですよね。\n\n“排除”の悪夢ふたたび\u3000連合・神津会長による玉木イジメで露呈した合流新… https://t.co/BORdMS2Tnf']","豊橋市長選挙は、１１月８日。
さらに衆議院選挙もあるやも知れず、きな臭くなってまいりましたね🤔 https://t.co/m1dtuPfcLk"
4,[],"炎の街頭祭り🔥

暑さに対応するため、日々マイナーチェンジを繰り返しています😊

最近の大きな変化はやはりこのマイクカバー🎤

歌番組の司会者みたいですが、唾が飛ぶし、汗が垂れることもあり、衛生上装着しました😆

もし見かけたら「… https://t.co/43XxeNNevN"
