,tweet,replies
0,"【自民党総裁選挙】自民党員のみなさま
ぜひ菅義偉先生をよろしくお願いいたします！
https://t.co/bZGKN5xCz2","[' お疲れ様です。\n\n環境副大臣在任中に、皇居外苑の「活用」と称したイベント広場化計画を白紙に戻していただきますようお願い致します。\n #環境省 #皇居外苑 #皇居前広場 #和田倉噴水公園 #楠木正成', ' 菅なんかほっといても勝つって。それより経済産業大臣の話がきたら面白いけどなー。女性登用がもっとテレビで問題視してくれたら。応援するで。神戸からやけど。', ' 佐藤ゆかり代議士、菅義偉閣下の応援お疲れさまです。なかなか庶民的な官房長官ですね。😊', ' 入閣に期待します', ' やめといた方がいい。', ' 頑張れ👍菅さん！', ' ほっといても当選。']"
1,神戸大学と日建設計で実証中の神戸市地下商店街「さんちか」のAI活用省エネ空調システムも視察。地下街各所にセンサーとカメラを配置し、集積データでAI予測した人の往来パターンに合わせ、冷房等空調を自動制御するシステムを開発、電力消費を… https://t.co/MaPUwvyhxC,"[' 良いことですね。', ' 神戸に来てくれたんや？会いたかったなー。今度こそ衆院選負けたらアカンで！枚方の友達にも投票依頼して、今度はそこから広げて友達の近所の人にもお願いする勇気を出したい。', ' 自民党の菅官房長官が消費税増税が必要と発言しました。枚方市民として、自民党に猛烈に抗議します。コロナ下で経済を戻すには、時限的に消費税を凍結！\n次の衆議院選挙は、佐藤ゆかり氏の対立候補の平野博文さんに投票する！消費税増税派の自民党はお引き取りを！']"
2,環境省で川崎重工明石工場で実証中のDAC（CO2空気中直接回収）技術を視察。これは今年1月Microsoftが10億ドル、6月Amazonが20億ドルの各々基金設立を発表した世界的競争分野。実用化すれば、人工光合成でバイオプラスチ… https://t.co/EM4J0bSqyu,"[' 御意です。', ' 自民党の菅官房長官が消費税増税が必要と発言しました。枚方市民として、自民党に猛烈に抗議します。コロナ下で経済を戻すには、時限的に消費税を凍結！\n次の衆議院選挙は、佐藤ゆかり氏の対立候補の平野博文さんに投票する！消費税増税派の自民党はお引き取りを！', ' グー いいね🈵🈴 凄い研究、頑張れ 川重👏👏👏👏👏🈵⭕', ' いよいよ大気中から有益な物質を生成する時代がやってきましたね。']"
3,事前予約受付中です。ご参加のほどお待ちしております！！【秘書UP】https://t.co/Tf4JXLpzDR,[' 自民党の菅官房長官が消費税増税が必要と発言しました。枚方市民として、自民党に猛烈に抗議します。コロナ下で経済を戻すには、時限的に消費税を凍結！\n次の衆議院選挙は、佐藤ゆかり氏の対立候補の平野博文さんに投票する！消費税増税派の自民党はお引き取りを！']
4,ママさん達を皆で応援しましょう！https://t.co/wSmJqcezpW,[' 自民党の菅官房長官が消費税増税が必要と発言しました。枚方市民として、自民党に猛烈に抗議します。コロナ下で経済を戻すには、時限的に消費税を凍結！\n次の衆議院選挙は、佐藤ゆかり氏の対立候補の平野博文さんに投票する！消費税増税派の自民党はお引き取りを！']
