,tweet,replies
0,上野も参加しています。女の本屋 &gt; 著者・編集者からの紹介 &gt; 森達也 編著『定点観測 新型コロナウイルスと私たちの社会 2020年前半』  ウィメンズアクションネットワーク Women's Action Network… https://t.co/HceIU7ht59,[]
1,定員1千名に。まだ空きがあるかも。NPO法人WAN &gt; ＜申込み受付を再開しました＞延期していた共催シンポジウム「フェミニズムが変えたこと、変えられなかったこと、そしてこれから変えること」 | ウィメンズアクションネットワーク W… https://t.co/0kaI2ZjYXs,"[' @wansmt 既に満員御礼（受付終了）でした。', ' @wansmt さっそく申し込もうと思ったら、残念ながら定員に達してしまっていました😭\nZOOMでしたら、もう少し定員を増やせないでしょうか？\nよろしくお願いいたします🙇🙇🙇！\nhttps://t.co/SAZCbv3uzq']"
2,市民的再分配の試み。ご報告と御礼です！WAN基金 &gt; WAN基金コロナ対策女性連帯プロジェクト事業終了報告＆御礼 | ウィメンズアクションネットワーク Women's Action Network https://t.co/pd4DDfnbp0 @wansmtより,[]
3,菅後継政権に託されたものは、旧政権の諸悪を暴かないことだ。雪崩を打って支持にまわるのは「臭いものに蓋」をすることに利益を見いだす人たちが多いということだろう。,"[' そのとおりだと思います。胡散臭い。', ' 検察が与党議員を摘発していっているという事は、その背後に、政権より巨大な権力が隠れているということなんじゃないですかね。\nそれは、日本の勢力かも知れないし、海外の勢力かもしれませんが、議員は叩けばホコリが出る人… https://t.co/aPVyYc3pQc', ' 自分の見たいところしか見ない意見だね。\n悪意を感じるね。\nもちろんそのつもりでしょうが。', ' @vpZRagTB16fXNw1 蓋の上に折り重なる議員さん達の姿がみえます。風刺漫画風に。', ' 今はそれどころじゃないというだけじゃない？だって色々掘りくじ返して大事なことが決まらないのはとても困る', ' 同感です。', ' 顔ぶれから蓋をしても出てくるのは加齢臭かな。加齢臭政権には未来を託せない。自民若手は爺を置き去りにして、離党して未来を考え実行してほしいね。年寄りの仕事は豊富な失敗経験から、あと３０年以上生きていく世代の幸福を… https://t.co/QoQhI66Yhn', ' @yamaguchinatsuo @shigeruishiba @Dr_Kamo #Abetaose\nDo You Hear the People Sing?\nhttps://t.co/eFa1HQJCon… https://t.co/7HWwccPc30', ' @shiraiGP 不都合な事が安倍政権下では行われ官僚やメディアがこぞって隠したのですね。自浄作用がないならばあぶり出すには政権交代しかない。', ' @shiraiGP 党内はそれで良いとしても、選挙が乗り切れるでしょうか。誰か1人でもいい、生贄を選んで国民の前に投げ出せるかどうかで菅氏の力量が測れそうです。', ' 「臭いものに蓋をする内閣」ができますね。「臭いものに蓋をする政党」に党名変更した方がよいです。', ' 最早、自分達が臭い物になっているということに臭いになれてしまって気がつかない。', ' 賭け麻雀が暴露されて「官邸の守護神」の黒川元検事長を検事総長に据える事が出来なくなったため、猜疑心の強い安倍首相らは岸田氏では「臭いもの」を暴いてしまうかもしれないという強迫観念から逃れられなかったのでしょう。… https://t.co/KFCFW0gtJw', ' 全てが利権。', ' 地位と忖度の政治の継続ですね。', ' 犯人隠匿だけでなく、証拠隠滅の危険性もあるのです。\nまた、何人か亡くなるかも。 https://t.co/1rCSKDUAox', ' 自民にしてやられたかなー。連日の出来レース総裁選の過熱報道、コロナも野党代表選も付け足し。コロナでバレた無能無策の目くらまし。こんな空虚な政治バブルに浮かれているようじゃ、知らぬまに足元が抜けて痛い目にあう。同じ過ちをまた性懲りも無く繰り返すしますか。', ' @orifushino_omoi 上野千鶴子殿\n何時も歯切れ良く\u3000気持ちが良い\nその通り\u3000と声を大して私も申しあげます。\nこれからも\u3000スッキリと吠えて下さい。\nスカッとさせてください。', ' 臭いものには蓋、蓋をしても腐敗は進む訳で本当に手に負えないことになる。', ' 諸悪とは？\n東大の思想に染まったブルジョアの犬よりましだろ', ' 年寄りだから、醜聞は少なそう。ガチで、利権構造を明かさないといけない。', ' 日本語がヘンですよ。', ' 国民多数が？\nそんな訳ないでしょ', ' それもあるのでしょうが、利権を守りたいのだと思います。', ' 先生、31～2年位前、天六で明石焼、ごっつぁんでした🙇', ' 隠蔽内閣か。', ' なるほど…\nパンケーキ大好き令和おじさんの親しみやすさで支持率上がるなんておかしな話だと思ってたけど、\n利益を見いだす人たちがいるというわけですね。\nその人たちをあぶり出してほしい💢\nそして、メディアはしっかり報道してほしい！！', ' 菅支持の派閥は多かれ少なかれ、\n\n税金の収奪政治に係わってるから、\n\n検察に証拠が握られている部分を新内閣の力、\n\n法務大臣の指揮権で握り潰さなければなりません。\n\n中国共産党は上層部が少数で収奪政治を行ってる。\n\n似たようなものです❗️', ' 国民の生活ですよね', ' 臭いものに蓋をする内閣。\n大役ご苦労様…\nご自身もお気をつけください…', ' ほんとに！報道もおんなじになって、台風のあとは芸能人逮捕とか\nいつも他に目をそらすようなニュースが流れて不思議でなりません。']"
4,番頭向きの人材とリーダー向きの人材は違う。旦那に忠実に使えてきた番頭がトップになるのは旦那に異変があった時だけだ。自民党にはそんなに人材がいないのか。これでは選挙は戦えないだろう。,"[' 上野先生の仰る通りだと思います。菅義偉氏は世間受けする顔に似合わず、人脈はかなり黒い様です。反社会勢力もそうですが、黒川氏 河合夫妻 菅原氏とも近い人物です。最近の菅義偉氏の発言では、新自由主義にも近い事が想像… https://t.co/r2NR1My4Gj', ' 先生、まさか学歴で差別してませんよね。こういう経歴だとこの道しかないこともあるんです。先生のことだから人物本位で見てるとは思いますが。', ' 上野千鶴子様\n白井聡氏の\n「荒井由実（松任谷さんの旧姓）のまま夭折すべきだったね。本当に、醜態をさらすより、早く死んだほうがいいと思いますよ。ご本人の名誉のために」\nの発言に対して何も発信しないのですか？\nこれ… https://t.co/nXe4yaCdKl', ' フリップ芸と揚げ足とり、週刊誌ネタでの批判しか出来ない野党(笑)', ' 人材がいないのは、不利なエビデンスを隠す研究者が第一人者のような顔をしているジェンダー界隈じゃないだろうか。\n\n知人の女性は「こじらせた喪女が自己正当化するための学問もどき」と評していましたが。', ' @YUMIClarinet いや、選挙はバカ勝ちすると思う。', ' そう思うのですけど、日本人を体現したのが戦後自民党。まるで踏み絵の如き', ' 問題ない。\n選挙を含め、戦いは常に相対的なもの。\n相手側がよりダメなら、自民が勝つ。\nそして今の野党には、全く期待が持てない。\n戦えないのは野党の方だと思うよ。\n安倍の方が良かったと思っているだろうね。', ' @ISOKO_MOCHIZUKI 自民党終わったな！', ' 品格に欠けた表現で差別的に感じました。適材適所の人事は理解できますが反応ツイートが学歴だとか見た目とかにまで発展して人格否定的な発言まで。切り離しましょうよ', ' 番頭！ぴったりすぎて爆笑しました🤣', ' @harukita_sr まあ、日本の政治はずっと天皇の番頭がやって来ましたからねえ。。', ' オバマが大統領になった時イギリスのフェミニストがオバマは暗殺されるだろうとかアホな批評をしていたな。フェミニストが理解できる世の中は地獄だと思うで、上野千鶴子のその批評は検討外れであると確信する。', ' 理想のリーダーは枝野ですか？小池ですか？笑止！！！！！！']"
