,tweet,replies
0,"「専門家や関係者と協議し、科学的検証の結果をふまえた見直しを」

新型コロナ危機から文化・芸術をまもるための緊急申し入れ││日本共産党の政策│日本共産党中央委員会 https://t.co/iI1PE1YTzN #日本共産党",[]
1,「ニュージーランドでは先日、「女性への歴史的不平等をなくす」と公約する首相のもと、従来の法律を強化してジェンダーにかかわらず平等な賃金を保証する改正法を可決しました。コロナ危機後の新しい社会へ、賃金格差をはじめあらゆる差別をなくす… https://t.co/GbKszZBOEd,[]
2,「安倍首相の後継を選ぶ自民党総裁選についての共同通信社の世論調査でも、「アベノミクス」を「見直すべきだ」という回答が５８・９％を占めました（「東京」１０日付など）。「アベノミクス」を評価し、その継承を売り物にする「後継者」には、国… https://t.co/SR0phO2fu8,[]
3,"「仁比氏は「黒い雨地域の拡大も視野に入れて検証する」と語った安倍首相について「#言いっ放しで何も動いていない」と批判。地裁判決を実行させていくため、県議団、市議団ともよく議論していきたいと表明」

「黒い雨」解決の展望は/大平・仁… https://t.co/pBSsLrOhol",[]
4,"日本共産党の小池晃書記局長「文化庁によると、有料のＣＤであっても、『広報目的』ならば、補助金の対象になる可能性があるとのことでした。しかし、動画配信ならば営利目的でも対象になるのですから矛盾した話です」

文化芸術活動継続支援事業… https://t.co/pRtINvtlu5",[]
