,tweet,replies
0,わかりやすく、簡潔にまとめて頂き、ありがとうございます。 https://t.co/Q2QNuL3geS,[]
1,"明日の予算委員会。
党を代表し、バッターに立ちます。 https://t.co/4q3qfihLLg",[]
2,"今日は防災の日。
 
災害への備えとして、地域のリスクを知ることは重要です。今年１月の予算委員会で提案した水害リスクの説明義務化。
 
先月28日から、住宅の売買や賃貸契約などの際に、「水害リスク」を説明することが不動産業者に義務… https://t.co/RioGoWsHI1",[]
3,"「水面すれすれの橋」として全国的に有名な阪神なんば線「淀川橋梁」。

高潮などの増水時には水防団員の方たちの命がけの活動で、街が浸水から守られてきました。この橋の架け替え工事など防災対策をまとめた動画。
　↓… https://t.co/uMyQXppJoD",[]
4,"地元まわりの後、久々に保育園のお迎えに。
　
一瞬、驚いた表情になった後、ニコニコして飛びついてきた５歳児。こんなこともあと少し。何気ない日常を大切に。 https://t.co/RI4JSirzy4",[]
