,tweet,replies
0,政権を維持するのは本当に大変なことだ、安倍総理には心から「お疲れ様でした」と申し上げたい。それにしても昨日の記者会見で改めて感じるのは、メディアからの質問の「偏り」だ。次の総理が誰になろうとも、このメディアのバイアスとの戦いになる。このままだと、日本を良くするのは益々難しくなる。,"[' 日本を悪くしてるのはあなたでしょ？', ' 節穴。', ' 国を壊した売国奴が何を言う。', ' お前が日本を悪くしてる根源だ‼️', ' どのツラ下げてこんなこと言ってんだか', ' 政権維持ではなく、国民の方を見てください。', ' 竹中平蔵様🌸笑https://t.co/c4pW2JS8wU\n💠知られざるガリバースマートメーター首位企業。市民運動で強制交換の実態😭体調悪化や飼猫異常行動で引っ越しで治った等も😿5Gは健康面と監視社… https://t.co/LeOkIDg2Nw', ' ご自身の利益だけを追求して、我が国から、いくら分捕りました❓\n\nあなたが日本の未来を憂う\nはぁ\u3000どの口が言っているんですか❓\n言えた立場じゃないでしょう‼️\n住民票のある国へとっととお帰りください‼️\n二度と、日本と関わらないで頂きたい💢💢💢', ' ご本人にお聞きするのがいいとおもいまして、\nこれ、竹中さんじゃないですよね、\nhttps://t.co/CKAwOisnbw', ' テ・ロ・リ・ス・ト https://t.co/YYOfUHM08b', ' 貴様は何様だ\n#竹中平蔵は国賊', ' そうかな？\n\nそうかな？\n\n考えても考えても、そうかな？？？\n\n誠実な政治をしている人はそう思わない。', ' 自分のしたことに気がついてないのですかね？', ' 日本人の所得が上がらないのは、今もって正規と非正規雇用の差が大きいからでは。非正規を増やして大儲けしただけでなく、二者間の無視して日本を良くする前に悪くした責任は誰にあると？', ' うそでしょ？何考えてるのですか？\nメディアのバイアス？\n国民に嘘の情報しか流さない偏ったメディアで洗脳してるのはあなた達でしょう？\n\n日本を良くしたいなんて事思ってないでしょう？ならば、パソナの中抜き… https://t.co/SqGKuB6laV', ' 搾取ばかり！やめてください！', ' 李平蔵さん元気ですか？', ' 淡路ぜったいのっとらさせないから\n異常ですパソナとか吐きそうです\n気持ち悪いふざけるな', ' 淡路乗っ取るなパソナとか気持ち悪い', ' 日本最古の島を移民島にするの？\n本当に売国行為しかしないね君はww\n\n淡路市長抱き込んで西村康稔を口利きにして補助金たんまりもらってw\nどうしようもないな🤣🤣🤣', ' 政治に関わんなしね', ' 早く逝け。クソゴミ。', ' 竹中さん、これもちろんこの動画はガセネタですよね？https://t.co/111QYmLCls', ' いいね', ' 淡路島にセルフ島流し、ご苦労様です。そこで一生を終えてください。', ' 日本から出ていけゴキブリ', ' 竹中さん、キライ！', ' あいかわらず竹中さんはいやだ。', ' 検査して  帰る頃には  感染や\n\n検査して  明日も心配  検査しよ', ' 後世に渡って日本を破壊した1人として名前が刻まれる\n\n竹中平蔵', ' 竹中ペイ蔵さんに質問があるのですが、スパイ防止法が制定されたらPOのCIAネームを持つ個人・団体はどうなるのでしょうか？他国の様に死刑や無期懲役にな李ますか？', ' 貴方の考えが一番、片寄っている。あとテレビに出るときは「大学教授」という肩書で出演しないで「パソナ会長」と名乗りなさい。明らかに「自分は人に知られては困ることをしています」と宣伝してるようなものです。', ' いつも思うのですが、竹中氏はなんの根拠があって「民間議員」とかいう意味不明な名目で政府の政策に口を出すのでしょうか？国民から選挙で選ばれた国会議員ではありませんよね？国民を貧困に落とし込むような提言は止めなさい！', ' こんな奴に生殺与奪を握られている国はもうたくさんだ', ' あなたが悪の元凶じゃ無いんですか？', ' パソナ、淡路島移転?\u3000今度は淡路島でひと稼ぎですか?\nそれから大阪都構想?  見事なくずっぷりです!!', ' 日本を破壊した本人がそれ言う？', ' @HK29313566 日本を良くする？？私腹を肥やす為に日本を破壊へ導いているあなたがよくそんな事言えますね。大阪、淡路島でのあなたの悪事はこれからますますバレていきます。日本人はあなたを許さない。', ' おい、ヌキ蔵\n\n抜くのはオ◯ニーの時だけにしろよ', ' シカゴ大学はシカゴ財閥とロックフェラーの寄附金で創立された‼️', ' 菅義偉の元に復帰か⁉️暗黒時代の再来‼️', ' ストレートにオブラートに\n包まず言わせていただきますね。\n\nお前が言うな。', ' とりあえず淡路島を侵略しないでいただきたい。\nもうじっとしといてくれ\n頼むから日本をこれ以上こわさないでくれ\nもう金なら十分盗んだだろ\nこれ以上何が望みなんだ\n\n日本国民巻き込むな', ' よく…こんな事が言えるな…']"
1,都知事選が終盤を迎えているが、重要政策が議論されていない。東京都の巨額の資産を市場で売却することだ。イギリスでは、サッチャーによって国有企業が資産市場に売りに出された。結果的にそれが、資産市場を活性化させ、シティが世界一の金融センターになった。東京都には、売れる資産が山ほどある。,"[' 改悪しようとすんな', ' 売国奴']"
2,"昨日の新潮に、また誹謗中傷記事。「竹中は大臣時代に製造業の派遣を解禁。パソナはそれで大儲け」
もう何度も述べたが、派遣解禁は厚生労働大臣の決定、私の担当ではない。それにパソナは、製造業派遣は一切やってない。政策は複雑だ。お茶らけたコメンテーターは、もっとちゃんと勉強した方がいい。","[' いやいや。お前さんのインサイダー取引的な行動が生んだ結果やろ。\nほなら派遣の給料上げたれや。\n行ってることとやってることに差がありすぎんねん。この世から去れ。', ' 実際儲けてんだろ\nあなたがやった無期雇用の切り替えとかいう政策によって満了期間直前で切られる人多発してますけど？']"
3,今日の東京新聞に、私を誹謗中傷する記事が出ている。大臣時代に毎日のように書かれていたような内容で、いつも通り事実無根の印象操作だ。面白いのは、私の政策に反対する評論家に取材しコメントを載せ、一方私本人には一切取材がないこと。取材せず記事を書く・・常識ではありえない。,"[' ねとうよなんにんつれるかな😊😊😊😊', ' 竹中平蔵様🌸なるほど💙\nhttps://t.co/crzath4x6p👈小泉進次郎売国奴っぷり😭某組織に利用され？判明by 内藤陽介9分▶︎朝日事実なら中井は国会無視の問題発言💢コメ欄は売国小泉親子批… https://t.co/qU3t76jpVs', ' 帰ってくれ']"
4,今日（６月６日）14:00~1530、TBSの「上田晋也のニュースな国民会議」に出演します。橋下徹さんや田崎史郎さんたちともご一緒です。新型コロナ問題について議論します。上田晋也さんとは、以前一緒に番組を持ったことがありました。久しぶりにお目にかかるのが楽しみです。,[]
