,tweet,replies
0,「AI時代の大学教育」鈴木寛 https://t.co/UZcXYTmTZp @YouTubeより,[]
1,タイムバンクで[Suzukan  （Kan Hiroshi Suzuki）](ID: 147)の応援をお願いします！  - タイムバンク / 時間を売買できるアプリ https://t.co/NRFahRa6OQ #timebank #タイムバンク,[]
2,"自分が本当にやりたいことに気付き、やりがいがある日々を歩み始めるためのスクール「ソーシャルプロデューサーズ・スクール」の体験説明会を行います。
https://t.co/M7UYfstuOk",[]
3,"自分で発見する喜びは、指示に従った場合よりも、はるかにエキサイティングで価値の高いものです。それを体現するソーシャルプロデューサーズ・スクールの体験会を5月14日に開催します。
https://t.co/F3l4OCwTlR",[]
4,問題発見力を身につける「ソーシャルプロデューサーズ・スクール」の説明会を1月29日に開催します。興味がある方は是非。私も参加します。 https://t.co/UHbHsxXeeu,[]
