,tweet,replies
0,【お知らせ】6月から平日午後7時から放送しているポリタスTV、様々なテーマとゲストでお送りしてきましたが、今後もタイムリーに、注目すべきヒト・モノ・コトを取り上げるために放送のアーカイブを有料化することになりました→… https://t.co/GbvCgWc5t8,['いただく場合は、今後も変わらず・無料でご覧いただけますので、ご安心ください。\n\nなんで有料化するのかというと、これまで番組制作や、ゲストへの謝礼は、僕ひとりの持ち出しでやってたんですよね。\n\nポリタスTVをはじめてから3カ月、自分の中で手応えがありました。']
1,【ポリタスTV】今夜は1⃣ドコモ口座経由で預金被害2⃣ドコモユーザー以外にも影響3⃣預金被害・不正引き出しはなぜ起こったのか4⃣今後の対策は？ ジャーナリストの西田宗千佳さん @mnishi41 に伺います。 #ポリタスTV https://t.co/ztCwaOjUEM,['送は14日（月）19時まで無料で全編見ることができます。それ以降は有料のアーカイブ（月額730円・全番組見放題）に登録いただければご覧いただけるようになります。\n\n会員登録はこちら→https://t.co/0kbtk6KBzI']
2,松尾貴史さん @Kitsch_Matsuo と松尾さんの新刊発売記念のイベントで対談させていただくことになりました。松尾さんとお話するのはかなり久しぶりなので楽しみです。昨年自分が経験したいろいろなこともぶっちゃけて話せる場になれ… https://t.co/nY8JskoZf3,[]
3,"【ポリタスTV】今夜は
1⃣首相交代で沖縄は変わるのか
2⃣かつてないほど沖縄に厳しかった安倍政権の7年8カ月
について、沖縄国際大学准教授の野添文彬さんに伺います。 #ポリタスTV https://t.co/VpDVz3fVRa",['放送は終了しました。番組は有料のアーカイブ（月額730円・全番組見放題）に登録いただければ全編ご覧いただけるようになります。\n\n会員登録→https://t.co/0kbtk6KBzI\n番組視聴→https://t.co/BouejNhgvj']
4,"【ポリタスTV】今夜は
1⃣首相交代で沖縄は変わるのか
2⃣かつてないほど沖縄に厳しかった安倍政権の7年8カ月

について、沖縄国際大学准教授の野添文彬さんに伺います。 #ポリタスTV

放送は19時から。
https://t.co/VpDVz3fVRa",['放送は終了しました。番組は有料のアーカイブ（月額730円・全番組見放題）に登録いただければ全編ご覧いただけるようになります。\n\n会員登録→https://t.co/0kbtk6KBzI\n番組視聴→https://t.co/BouejNhgvj']
