,replies,tweet
0,"[' 原発反対とか言うなら夜に女子会とか雑談会とかでの無駄な電気使用辞めるべき！！\n\u3000原発は反対でも電気は使いまくるでは、矛盾し過ぎ！！\n\u3000いい加減、議員報酬、政党助成金搾取のみの為の政治パフォーマンス… https://t.co/l3t8hEhBZs', ' #笛美 さんにフェミニストのオピニオンリーダーは荷が重いと思います。いくらお止めしてもお聞き入れくださらないので不本意ながらここに投稿します。アルコール依存性は男女関係ありません。家族ごと共依存に… https://t.co/arq5otqbpK', ' 夏は終わりました\n怪談話は結構です', ' 社民党は支持政党ですが、何度相談をしても、お困りごとは聞かないですよ。うちの県だけかもしれませんが・・・。', ' ついついうっかり忘れないように\n20:30にスマホのアラームをセットしました\n楽しみです', ' この話題なんてどうです？\nかわいそうな慰安婦からお金を騙し取った卑劣な詐欺師！！\nいまは韓国の与党議員としてのうのうと暮らしているんですって！\nhttps://t.co/328x409yay', ' これも取り上げてください！\nhttps://t.co/AYuuJA6hLu', ' フェミニストたちが、少子化を加速させていると思います。\nフェミニズムとか訳わからん事言って、日本を破壊する活動やめてもらえませんか。 https://t.co/eP1Hi883gH', ' 今夜も楽しみにしてます！\n自由な会話がとても楽しくて、一緒に参加している気持ちになれるんですよねー。', ' 今の議論の対象はこれでしょうね。\n\nhttps://t.co/YEaRKzA7ek', ' 今夜！20:30から！\nφ(．．)めも']",今夜です。ぜひ見てください！ https://t.co/qTEe4hCkvY
1,"[' 自分がどうしたいかを話せるのが議員さんのはず。。', ' 色んなところに喰いついて、何一つ実現できない、実現するつもりのない人。困っている人に寄り添ってる風で実態はない。', ' ウイグルの不妊手術に抗議してますか？', ' この活動自体は何の悪いところも無いですが、貴女の方向性が全然わかんない。', ' ウイグルは？', ' 重要なテーマだと思いますが考えましょうというか、議員ならなんとかはしろよって思います。', ' したりしています。\n\n何か違和感ある日本語です。', ' 何にでも首を突っ込むけど全てが全て中途半端に思える。結局騒いで終わり。…', ' そんなにナマでしたいのか…', ' はぁ〰️？？\n薬局で安易に買える様にしたら避妊もしないで性の乱れが増えるのが目に見える！\n\u3000やはり目先の政治パフォーマンスしかしない社民党の考え方やな！！', ' 堕胎罪の問題が判ってるのにすすめるの？', ' あっ❗みずほちゃん議員辞めたんや～😄\nこれからDJで頑張るねんなぁ、良かったね仕事が見つかって❗', ' お前が言うな', ' なるほど、朝鮮半島から稼ぎに来てる売春婦の為に言ってるんだね\nあいつら保険証無いから病院行くと高くつくもんね']","#Radiotalk #福島みずほのラジオはじめました https://t.co/4uZPFrL7Yk

今回は、妊娠と中絶の話。
#緊急避妊薬を薬局で 買えるように厚労省と意見交換をしたりしています。
刑法の堕胎罪の問題もありま… https://t.co/Em1AxGBMdA"
2,"[' テレビショッピングと同じで、本人を見ると気づかないくらい画像加工するのやめてほしい。支持できなくなる。', ' 何をするのですか？', ' うちの町ではしばらく前から貼ってます！がんばってください、がんばりましょう！！まともな、人間らしい、生活のために。', ' 鳥肌しかないわ', ' 選挙に惨敗しても辞めない党首\n国民への説明責任がありそうです', ' 野田総理も、「社会保障を考えるときに基本は自助。そこにどう共助・公助でサポートしていくか。近所づきあいが希薄になり、非正規雇用も増え、自助の環境が損なわれている中で、自助・共助・公助の好循環の仕組みに持っていきたい。', ' いつの写真使ってるんですか?', ' こんなポスター何の役にも立たないでしょ😄', ' いつの写真だよw', ' 社民党も古い体質から脱皮を。\n\n米国・オカシオ・コルテス議員「社会民主主義者」と名乗り、反緊縮グリーンニューディールを主張。\n\nただし、彼らは気候危機と経済危機に対応するために、税収や財政規模にと… https://t.co/3zn8UOhKnK', ' 🐒 と🐴', ' カッコいいポスターですね。', ' 誤字は？', ' ウチの選挙区には、#社民党がいない。\n選挙の鬼の一人である安倍晋三の家庭教師がいる選挙区なので出ても勝てないが。', ' みずほちゃん写真若すぎますよ。\n今と全然違うやん。', ' 菅官房長官が「憲法が自衛隊を否定」だ。全く正しい!だから憲法違反の自衛隊解体し災害対策隊にしよう。全戦争行動即時禁止🈲!沖縄・辺野古新基地建設即時禁止🈲し、その3000000000000円を、トラ… https://t.co/jy6qoE8Ca7', ' 国民が知りたいのはこちらです。\nhttps://t.co/Ck6NvSV5uw', ' ポスターいらないけど\n大椿ゆうこさん\n少しぽっちゃり！', ' みずほ！いつまで昔の写真を使いまわしてんだ？ 現在の顔をポスターに使えよw  #詐欺師']","大椿ゆうこさんのポスターができました！お問い合わせは大阪府連まで。
#大椿ゆうこ https://t.co/GoR6HYssjI"
3,"[' @5bKkYTISdwI3iNf 弁護士でしたかね？\n戦争法ってありませんよ。\n間違ってます。\nもう一度勉強し直してくた。', ' なぜ、“女”を強調するのですか？\n男女間の分断を作り出しているのではないですか？', ' そんな気持ち悪い活動より、国民を守る為の法律作ってもらっていいですか？\nあなたみたいな活動家に税金が使われている事がおかしいと思います', ' 壁', ' 憲法9条で平和と勘違いしてる集団です。\n日本は、日本海側3国のミサイルのターゲットに晒されてるのを、自覚すべきです。', ' 最高裁判所は苦労するだろうな〜。\nだって戦争法というのが無いのに裁判を起こすんだから。他国にどうぞ攻めてくださいと言うような事だろうな。', ' 反対なら反対でいいから国を守るための道筋をしめせよ。反対なら誰でもできますよ。', ' 福島さん\n女の会とは差別では？\n男子は入ってますか？', ' 中韓露が、日本を攻めやすくするための活動ですか。', ' これは？ https://t.co/ScmkgjR0GN', ' 男女平等じゃない会ですね。', ' またもや怪しげな活動してますね。', ' 貴女の師匠の土井たか子が拉致被害者家族にしたことについてコメントしてください。']",安保法制違憲訴訟・女の会での挨拶です https://t.co/1UdatO9LxA
4,"[' 地域ごとにやり方を工夫しなければ、実現できない問題だよ。中央政府で日本全国一律で実現できるようなことじゃない。\n地方分権を本気で考えないような奴らには実現できないだろう。', ' 素晴らしいお考えですか、その費用はどうやって、いくらくらい用意するんですか？', ' 何でも、無料は駄目です‼️\n子供を安心して、産み育てられる社会が大事です。ただの医療。きちんと払う物は、払うのは当たり前‼️', ' え？\n出生率ですよね？', ' 女性も仕事しろ!では、なかなか出生率も上がらいのでは?', ' 周辺自治体の子育て世代が引っ越しただけ？\nその辺の統計も出してね。\n私も隣町が子育てしやすかったら引っ越す。\n専業主婦で子育て頑張りたい人も多いはず。\n生活苦(相対的賃金低下)で出生数の低下。\n女… https://t.co/36wYIdHH2G', ' @cgCl7oZUnAgcN4n ぜひ、主要政策にしてください！！\n#無償オーガニック給食\n\nhttps://t.co/HTJmSCNWqg', ' すごいー。総理になってほしー。', ' @junjunjulian1 政府は何をしてるのか？医療と教育の無償化は政府がすべきことだ。明石を見習い、ドイツや北欧の福祉を見習って政策をつくるべきだろ、日本政府は。財界と寄生企業、天下りで保身… https://t.co/QsXQwEVrzp', ' 当然『日本人の』ですよね？？', ' 貧乏人ばかりが出産してみたいな言い方やめて', ' 新コロデマを流すな！\n\nhttps://t.co/24Bki8PiV5', ' 確かにそうですが、最優先事項は、高給職業売春慰安婦を活用した下朝鮮の被害者ビジネスをたきつけた福島みずほ大先生が議員辞職する事だと思います。', ' プラス経済ってのが抜けて無い笑。 https://t.co/JAEJFWwTiG', ' 財源はどうするんでしょうか？\nそれによって子育てしない人は\n出て行くんでしょうね\n仕方ないですが', ' まずは、結婚させる事。市町村にお見合い課を作りイベントなど企画させる。成果に応じて交付金を支給してお見合いを促進させる。', ' 福島さん\n貴女には何も出来ません\n過去から現在の行動を見てるとわかる\n拉致問題に関する今の考えをお聞きしたい', ' 日本国国民の高校卒業まで学校関連全て無償化するには、誹謗中傷非難批判クレームや責任転嫁や要求しかしない野党国会議員の税金使用の報酬関連を日本国最低賃金並み以下にしたら簡単に出来ること！\n\u3000自己保身しか頭にないからそれすら解らない社民党！！', ' 素晴らしいですね。子育てしやすい環境を整える事で、市民が増え税金の増収も達成している。\n良い循環ですね。', ' 若い家族にとても人気の街です。神戸大阪にもとても近いのに、あまり都会ではなく魚はもちろん、近隣に野菜の産地も沢山あって住みやすい上に行政サービスが充実してるんですから、この上ないところですね😊']","給食や子どもの医療費の無償化が出生率を上げ、子育て世代の流入を呼び込み、街が元気になる好事例ではないでしょうか。

兵庫・明石市独自「5つの無料化」が話題沸騰　市長は「市民が誇り持てる街づくりのために」（2020年9月8日）｜BI… https://t.co/LiT3XKUpc8"
