,tweet,replies
0,おめでとうございます🎊㊗️ https://t.co/YiJkCuw54o,"[' 🎉大坂選手、優勝おめでとうございます。\nそして三原先生、お誕生日おめでとうございます🎊', ' 🎾🎾✌💫素晴らしい😂👏👍✨', ' アネキお誕生日おめでとうございます！', ' お誕生日 おめでとうございます。', ' アベノミクス\u3000物価と税負担だけが上昇し、みんな貧乏に', ' 大坂なおみ選手、おめでとうございます！そして、\n三原じゅん子先生、お誕生日おめでとうございます！', ' 流石、「セクシーナイト」\nじゅん子先生！！', ' 大阪なおみさん優勝おめでとう㊗️\n三原先生、お誕生日おめでとうございます🎁🎊🎉', ' 日本人の誇りですね', ' すごいな。\n\n素直に喜びたい。\n\n猛批判されてもやるときはやる。\n\n自然と頭が下がります&lt;(_ _)&gt;', ' おはよう御座いますいち早くツイートありがとうございます。', ' 🎌三原議員は🎌文部科学大臣が相応しいと思います‼️', ' いやー個人的には素直に喜べませんがまぁすごいですね。']"
1,"ニコ動で討論会やってます！

ニックネーム、
本人より、
ガースー、公認いただきました❣️

https://t.co/lLXQQeUzwV

#ガースー #令和おじさん #菅義偉","[' https://t.co/2Egyee2vnc\n\nこんな政府と党の違いもわからないボケ老人を自信満々に押す政治音痴さ笑\n\n恥を知りなさい！笑🤪', ' 面と向かってガースー呼んだら、隠し上腕二頭筋で絞められそうで怖いです #菅義偉', ' が～スー森友等解決済みだそうだ\u3000恥をしりなさい', ' お誕生日🎂', "" 流石の｢ガースー｣🎷🎶\n😅v'🎌"", ' もしまたマスク配ったら、ガースーマスク？', ' 今から拝見致します。', ' あいつの方は「んーかー」…言えない', ' 大丈夫ですか？\nガースーって馬鹿にされてるんですよ。\n#スガやめろ\nがすごい勢いですよ、\n50万位いくかな？\nまだ総理にもなってないのに国民を敵にまわしたね、ガースーじゃ選挙負ける。楽しみです。', ' 確か、「ガースー」公認は一太（現グンマー王）の番組内で既に…', ' ニコニコ動画って、悪質匿名掲示板２ちゃんねるを開設した西村が開設した動画です。国はいつまで無法状態の２ちゃんねるを放置しているのですか？', ' 三原先生、すき。\nがんばれー☺️', ' アダ名ではないんですね？', "" \n令和おじさん参上＼＼\\\\٩( 'ω' )و //／／ https://t.co/W0HaS2LmHw"", ' 三原先生に名前貰ったら、僕でもその通りに名乗りますって(*´∀｀)', ' まじですか！\nガースーOKですん？']"
2,"相棒の命日

この一年、何度「相棒が居たら何て言うかなー」って思ったことが。いまだに典ちゃんロス。
なんて言ったら怒られるね。
ずっと心の中に居るよ。 https://t.co/CtmasiAPDS","[' そうでしたか。\n是非\u3000お供えしてください。\n拝啓\u3000安倍晋三様\n首相の退陣おめでとうございます。\n「ありがとう！！！晋ちゃんまんじゅう」\n\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000敬具… https://t.co/xkoDgk5iSt', ' 國體護持命！で「天皇守って国民守らず！」の“教条主義”で国民騙して国民犠牲にする自民党でいいの⁉️…と言ってるんじゃない⁉️', ' お察しいたします。', ' ヘアヌード😫。カメラマンに暴行😱。', ' もう一年ですか…\nきっと見守って下さってますよ。\n今日は思いを馳せ、宮川さんに頑張ってる姿見せていきましょう。😉', ' 合掌🙏', ' 孔子学院には肯定的だったのでしょうか？', ' 宮川さんの前向きさと笑顔は本当に素敵でしたから残念ですよね…', ' 宮川さんですね…。\n私は宮川さんファンでした。あの元気と笑顔は私も未だに思い出すことがあります。\n\u3000明るい未来を宮川議員のあの笑顔を通して期待していました。\n\n\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000合掌', ' 合掌🙏😌']"
3,総裁選終盤、仲間と激励に❣️ https://t.co/J94oR26Oxh,"[' 貴女の「頑張ってる感」の演出不要。\n「派閥の言いなり」ではなく、自分で考え、行動してもらいたい。それが政治家の矜持であり責務。何より貴女を支持した人への責任。', ' #スガやめろ\n\n国民の声届いてますか？\n\nあなた方は誰の金でメシ食ってると思ってるんですか？？\n\n恥知らず', ' 出来レース笑。', ' なんなんこの映像\n\nこれから政治を目指す方々に\n政界も「ペコペコヒラメ」の\n世界ですよ。\n「大臣の椅子取るのも大変なんよ」\nって事を教えてんの？', ' #10年くらい消費税を引き上げなくてもいいというその根拠についてはなんだと考えられているのか\n\nポンコツ\n\n#スガやめろ', ' あの、菓子折りの中は\n会見のときに読む台本かな？\n今日の会見も物凄く台本見てた最高、絶対に国民の期待を裏切らない。', ' 超消去法で\u3000ガースーです。', ' じゅん子先生入閣してよ^ ^\n同級生やから応援してるよー📣\n私設秘書にして欲しいわ。', ' いつまでも必死に\u3000ぶら下がることせず 少しは冷静に考えよう！\n\n何よりも⚠危険だし、周囲・国民に大迷惑なんだから…\n\n🔔\n人類史上\n女性が冷静に判断できる地域・国・文明は繁栄する\n\n損得思考・愚かに欲動く… https://t.co/WgJBFhgZEs', ' 三原先生もいずれは、日本初の女性総理大臣になって下さいね！', ' @hiro44337247_05 ◎   小泉進次郎の入閣は、絶対に有り得ない‼️', ' どれだけヨイショする気？', ' 良いけど、増税はダメだぞ、逆に減税だ減税、もぅ休業補償は9月一杯で終わりだし、生活大変よ、オマケに去年の2月から出してる障害者年金は今だに決定されず理由説明無しに却下が二回今度は霞ヶ関に行くけど\nまだ却下… https://t.co/FYdsQe81Ub', ' 三原さん、貴女の努力がむくわれません。今最優先は二階さんに幹事長を降りて貰うことです。', ' これぞまさしく「勝ち馬に乗る」！！', ' 三原さん好きだけど\n猟官運動にしか見えない。', ' マスクをしなさい！\n大事な時に！？']"
4,https://t.co/sEijdSLr09,"[' この擦り寄り感すごいね', ' 少子化対策を諦めているのがもうダメ。\n政府が諦めるなどと言ってはダメ。\n残念です。', ' 最後の国民へのメッセージ＆手を振ってるところ可愛かったです😘', ' ガースー、リラックスしてました😊良かった', ' 犯罪者がのびのび育つ\n自由民主党', ' メディアの都合の良い所ばかり抜粋されて批判されて、\n日本人も気付いてきてます。\n頑張ってください！', ' 少子化に何とか対策を打って頂いて\n外国人に頼らない日本にして欲しいです\nそれが活力ある日本だと思います']"
