,tweet,replies
0,本日、英国のトラス国際貿易大臣とテレビ会談を行い、日英包括的経済連携協定について、大筋合意に達しました。ＴＰＰ１１、日ＥＵ・ＥＰＡ、日米貿易協定に続き、自由で公正な貿易体制の発展を日本が主導し、この成果を挙げることができました。… https://t.co/qZGIYIMnDE,"[' 韓国からの入国制限の緩和を検討してください。恋人に会いたいです。\n恋愛は観光ではなく、ビジネスよりも重要な事で、お互いの人生に深く関わることです。韓国だけでなく、各国大切な人に会えない人がたくさん困っています。… https://t.co/YPjDNHX0kP', ' 栃木県選出の茂木さん\n何とかして下さい\n\n子豚盗難事件\n果物盗難事件\n\n厳しい捜査してください。 https://t.co/T7MzgSVdhO', ' @mimibanasi お疲れ様でこざいました。', ' さいごまでGJです！', ' .@moteging おめでとうございます！大きな前進ですね。', ' 素晴らしい!', ' チーズに問題と数週間前に報道あったと思いますが、協定の詳細は顔本ですか。\n顔本がないとダメなんです日本の外務省は心配だ、見なきゃ、と観客を集める高等戦術ならば良いのですが、心配だ。\nアメリカの核兵器はまだないとダメですか、日本は？', ' 英国の大臣と会談？\u3000日本語より英語が得意なんだな？\n政策は得意で能力はあると自惚れている恥さらし。\nずっと英語だけ喋ってろ。無礼な外務大臣様（笑）\n#茂木敏充\n#外務大臣\n#無礼者', ' @RibbonChieko 茂木大臣、これからも、安倍路線で日本を強くしてください。', ' 茂木さん笑顔かわいい(●´ω｀●)', ' @RibbonChieko お疲れ様でございます。\n茂木外相、流石です。\nここにも長期政権の恩恵が。\nこれは一長一短で成せることでは無いですよね。素晴らしい！\nこれは日英の今後一層揺るがない信頼関係とに寄与し、… https://t.co/j2S6QkC68s', ' 茂木大臣、素晴らしい成果ですね。\nありがとうございます!\nこれからも期待しています。', ' 素敵な笑顔ですね😃', ' 茂木さん、安倍さんへの花道、見事なクロージングでした！\n大変お疲れさまでした。', ' 次の総裁選には出馬して欲しいです。\n景気拡大以外に財政の健全化はないと、言ってほしい。', ' お疲れ様でした🐱\nそして、ありがとうございます🙇', ' 茂木大臣\n笑顔の写真いいですね。', ' お疲れ様でした❣️😆\n明るい希望の持てるニュースに\n将来への不安が少しでも軽くなります。今後共ご尽力の程お願い致します❣️', ' 茂木外相、Good Job!!\nお疲れ様でした！', ' 茂木大臣ＧＪ！', ' お疲れ様でした！', ' 感謝！感謝です。', ' お疲れさまでした。さすがタフネゴシエーター！', ' 素晴らしい！✨', ' よく頑張って下さいました。', ' お疲れ様でした。', ' 茂木大臣😺\nお疲れ様です🇯🇵\n\n２枚目📷良い笑顔！😄🎶🎶', ' ありがとうございます✨\n安倍総理路線継承を切に願います✨', ' 茂木大臣、安倍総理、他わかりませんが、関係者様方、お疲れさまでした。ありがとうございました。そのうち同盟国にもなりたいくらい。', ' 茂木さんは総理になる人\n宮家復活もあなたにこそ実現してほしい。', ' さすが茂木大臣です😘', ' 茂木大臣さすがです。\nタフネゴシエーターと言われる所以です。', ' もぎもぎお疲れ様でした！ありがとうございます', ' お疲れさまです！', ' 頑張って下さい！', ' お疲れ様でした。しかし、９月末まで待った方が良かったのでは？\nイギリス政府がWTOルールやベルファスト合意を反故にする場合、イギリスへの経済制裁は検討されてますか。\nhttps://t.co/uYelvp4o6h', ' 茂木大臣素晴らしいです！\nありがとうございます！', ' 私は茂木さんが総理に就任して欲しい一人です。', ' インバウンド増加や移民政策は日本の治安を悪化させます。外国人の入国は厳格にして下さい。特に、先進国以外の国の入国は厳格化し、韓国人はビザなし渡航禁止にして下さい。', ' 茂木大臣、お疲れ様でした。', ' イギリス人としては本当にありがとうございます。', ' 茂木大臣のハード・ネゴシエーターとしての真骨頂を発揮されたことと思います。日本は米国及び英国連邦とシックスアイズの関係まで発展できるものと期待しています。お疲れさまでした。', ' イギリスと同盟関係になりましょう。茂木大臣も、日本がファイブアイズに加盟できるよう、全力を尽くしてください。', ' 頭が下がります。感謝のお言葉しかありません。', ' 大臣、お疲れ様でした！', ' ありがとうございます✨', ' おめでとうございます。', ' お疲れ様です🙏\n🇯🇵がんばろう日本🇯🇵 https://t.co/M2750z7FHh']"
1,ASEAN+3（日中韓）外相会議、日ASEAN外相会議、東アジアサミット参加国外相会議に出席しました。合計約５時間にわたる長丁場の会議でしたが、新型コロナ対応、北朝鮮、南シナ海、香港情勢、自由で開かれたインド太平洋の実現に向けた協… https://t.co/38Vx6Uxkh2,"[' 茂木先生いつも陰ながら応援しております。\n\nインド太平洋戦略にはASEAN諸国の理解と協力が不可欠です。\n計５時間、お疲れ様でした。\n有意義な結果をもたらすこと願っております。', ' 留学生を入国させてください\u3000#japantravelban', ' どれどれ', ' ありがとうございます\nお疲れ様です', ' 簡単にお願いします。それと、コロナ対策、しているしていると言いつつ何も進んでいないように思います。色々と困っている人もいます。みんなが辛い思いをしています。', ' 淡々と国民よりご自分に託されたお立場で、重要案件を処理纏め挙げて行く姿には感服致します。\n力蓄えて、次の本格政権造りをお願い致します。', ' @nonnaponyo もっと簡潔に発信してほしい\n\n河野さんと比べるのは失礼ですが\n仕事をちゃんとしてるのに伝わらない\nわかる方はわかるとは思いますが\n一般にはわからない、興味持たれない\nもったいないと思ってしまいます。', ' Chinaによる保険制度の悪用。\n止めてください。\n\nhttps://t.co/KZkhXZIKFn', ' facebook全文読んできました。\n長丁場の会議お疲れ様でした。\n価値観を共有できる国と共に進んでいくことを願っています。\nどうかよろしくお願いいたします。', ' 韓国からの入国制限の緩和も検討してください。ビジネスからでもいいです。感染拡大させないよう徹底します。お願いします。恋人に会わせてください。', ' お疲れ様です😊', ' @moteging様、入国するために新しい労働者は４月からずっと待っています。CoEが持っているのに入社できなくて本当に困っています。もうどれぐらい待つはずでしょうか？なるべく早く入国させていただけませんか？お… https://t.co/LCACChS2q5', ' 医療、台風、防災分野での協力を深めてほしいです。近年の気候天候はおかしい…。', ' 2012年に国際NPO団体PROJECT SYNDICATEに発表した英語論文『Asia’s Democratic Security Diamond』に書かれた安倍総理発案の外交安全保障の確立に向け、日本国としての前向きな努力をお願いします！', ' C国、K国、お隣りの大陸と半島の民族は、気に入らない事には、ものすごい剣幕で襲いかかって来そうですが、日本は心して負けてはダメです‼️今後も頑張って下さい。', ' 茂木さん、ありがとうございます。これからも日本を支えてくださいね。', ' 茂木大臣、お疲れさまでしたm(__)m']"
2,パプアニューギニア、カンボジア、ラオス、ミャンマーから帰国しました。各国外相・首脳と新型コロナ対策や地域情勢について議論が出来ました。カンボジア、ラオス、ミャンマーとは双方向の長期滞在者を往来可能とするレジデンストラックを９月上旬… https://t.co/ILc2dI5Sxa,"[' 『#ヒドロキシクロロキン を 予防薬・治療薬として使うべき』\n\n#日本 が #１億2000万回分 の供給を受けることで合意している\n英国の製薬会社「#アストラゼネカ」の #コロナワクチン、\n「#深刻な副作用」事… https://t.co/iX2VuHHx5e', ' 『#農作物の盗難 が多い！ #日本人 なのか？ #外国人 なのか？』\n\n【防犯カメラ映像】\n東京 #清瀬市 の #ブドウ園 から #シャインマスカット が盗まれる\n\nネットの意見\n・丹精込めて育てた作物を盗むな… https://t.co/lj4yoXN5ts', ' 『#ベトナム人 は #強制送還』\n\n【長野】\n#シャインマスカット 盗み逃走\u3000管理人に見つかり腕に噛みつく！！\u3000\n#ベトナム 国籍の #女2人 を #強盗致傷 の容疑で #逮捕\n\nネットの意見\n・ #技能実習… https://t.co/8Rj6xSmSTZ', ' こちらについても誠実な対応をお願いいたします\n\nhttps://t.co/kUC2F7Tijq', ' 韓国人の彼氏が今年の四月から日本で就職でしたが、コロナでこれないままです！内定者をはやく来させてあげてください。', ' 韓国からの企業関係者の入国制限緩和、検討してください。お願いします。恋人に会わせてください。\u3000\n\n#LoveIsNotTourism', ' 外国人記者への対応。\n「コミュニケーションの取り方としてそちらの方がいいと考えた」\n\n言い訳としては実に稚拙。\n\n本気だとしても、国を代表できる感覚を持っているとは思えない。奢るな。\n\n男性記者には見せない姿勢… https://t.co/XVVHTbU695', ' これ教えてよ\nhttps://t.co/Tt3aT1K3IJ', ' 貴殿は昔から傲慢だったが今も変わらないね。']"
3,"今回の海外出張の最初の訪問国、パプア・ニューギニアのポートモレスビーに到着しました。
今晩はマラペ首相が歓迎の夕食会を開催してくださり、懇親を深めました。明日も首相を表敬し、日パプア・ニューギニア二国間関係の強化や地域情勢について… https://t.co/nfKO6VxnfY",[' あんた、政治家向いてないし、辞めたほうがいいよ！！\n\n善意で申し上げてます！！\n\nhttps://t.co/8qEkoDgtK0']
4,これから、パプアニューギニア、カンボジア、ラオス、ミャンマーを訪問します。新型コロナ対策や「自由で開かれたインド太平洋」の実現に向けた協力の強化、地域情勢等について意見交換します。また、メコン３か国とは、日本と各国との人の往来再開… https://t.co/24ZY8ulpIj,[]
