,tweet,replies
0,"9月12日時点の発生状況は、

検査人数 49,584（+345）

陽性累計 1,873（+7）
陰性確認済累計 1,705（+9）
死亡累計 106

現在患者数 62（-2）
【内訳】
軽症・中等症 60（-2）
重症 2… https://t.co/D4civroEUM","[' 学校や病院は個別名出るのに夜の街関連は一切出ない\n\n怖くてすすきのに行けないよー\n\nクラスター発生したら店名公開して\n2週間後迄に消毒と他の従業員の検査で陰性になりましたから再開します\n\nのほうが安… https://t.co/AhZgKOvTAB', ' もはや意味を感じなくなるほど少なくなった感染者という名の陽性者公表。\n\n今後も続けるのであれば札幌圏以外の医療体制の充実具合か。遠軽地方は町村合併によって広がった地域を元々の遠軽町でカバーしなければ… https://t.co/Xs0GkFhLfv', ' お久しぶりに覗きに来ました😊\n\n患者数たったの62人❗️\n\nGoToキャンペーンが始まって1ヶ月。\n\nキャンペーンが始まって\n２週間後の北海道は、、、\n\nって騒いでた割には、\n\n患者数激減。\n\n死者… https://t.co/2daVS8Gi9i', ' 安倍さんに続き小池さんも終わりのようです。次は大阪？北海道？どちらも売国しすぎです。\n#鈴木知事リコール \nhttps://t.co/9xNWSavq9y', ' ソーカと密でしたよね。応援団もソーカな？面白いもの見つけました。\n⬇そりゃ、鈴木知事加える今の政権壊れたらご馳走にありつけなくなりますよね。何もかも真っ黒だ。\n#鈴木北海道知事には説明責任を求める… https://t.co/lHJdqUwQwH', ' そろそろ終わりに近いと思いますが？海外はもう色々暴露されてコロナ騒ぎは終わってますよ。\nhttps://t.co/tlx8KWOkzT', ' 質問には、一切答えず、ひたすらテンプレで流す。\nどこが道民の皆さんと共に苦難を乗り越えてるの？\n\nそもそも知事のツイート、どんどん反響薄くなってない？', ' だから新北海道スタイルってなんですか？\n高齢者の少ない寿命を守る為と称して\n若者の未来を破壊することですか？', ' なぜ数々の疑惑に応えないのか。\n中共の出先機関なのか道庁は\n何時までもそんな事出来ると思うなよ鈴木', ' お疲れ様です😊\n今日は雨も降り肌寒いですね。\n雨が降るたびあとは寒くなっていきそうですね。\n季節の変わり目ですので、新型コロナだけでなく、体調の管理に気をつけたいですね😊\nこれからの北海道は新米に新… https://t.co/65SnQwsWfe', ' 「説明責任を果たしなさい‼️」\n\n何度も何度も問い合わせても、完全無視💢\n\n説明責任から逃げまくるクズ人間💢\n\n疑惑のデパート‼️鈴木知事💢\n\n大迷惑なんで、早く北海道から出て行け💢… https://t.co/kYoak6C3Iz', ' おはようございます☀\n\n昨日から急激に寒いです\n収穫ピークを迎えてるお野菜やお米をしっかり食べて風邪もはね返すよう栄養つけてくださいね\n\nでは知事も道民の皆さまも\n今日も1日笑顔で😆🥔🌾… https://t.co/Y1g2YR8FXf', ' コロナのこれは広報課のお仕事でしょう、知事さんのはこちらでしょう、余りのウソと税金のムダ使いに批判殺到ですよ。 https://t.co/U7vxYQWuwf', ' 自分達は散々他国に不条理な事をしてきたくせに、同じ事されればすぐぶち切れて報復⁉️\n\nこんな国に向けて北海道welcome動画はやめてくださいね‼️\n\n中国、米国に外交官への報復措置を通告－詳細は明… https://t.co/XhGaQ228LN', ' おはようございます。\n毎日ありがとうございます。\n今日は気温も上がらず、すっかり秋🍂🍁の気候ですね。お疲れの出ませんように。ご自愛ください。\n#鈴木知事いつもありがとう', ' 日曜日おつかれさまにゃ🐾😼 https://t.co/neZ0PvI1p4']"
1,"9月11日時点の発生状況は、

検査人数 49,239（+414）

陽性累計 1,866（+6）
陰性確認済累計 1,696（+17）
死亡累計 106

現在患者数 64（-11）
【内訳】
軽症・中等症 62（-11）
重症… https://t.co/sWK3qz6z54","[' 病院勤めですけど仕事と家の往復、近所の買い物だけの生活から9ヶ月経ちました、、、まさかのプラスチック手袋が不足が発生しました。\n経営支援も含め、札幌市の医療機関支援を引き続きお願いします🙏', ' ノーマスカー信者へ\nその他大多数がマスクして感染対策してるから爆増しないって事を理解して、ドヤ顔で眉唾垂れ流すのやめて', ' ＃コロナを指定感染症から外しましょう\n＃コロナは嘘です\n＃コロナは茶番\n＃スーパーシティ法案は廃案で\n＃ワクチン不要', ' 素敵なこと書いてあります👏\nhttps://t.co/GuIZuBtp7V', ' 医療従事者が自分で言わないから代わりに。\n医療用物資が足りてない。知事レベルでも共有すべき事実だし、厚労省も認識がありながら供給してない。数か月前から注文しているのに入荷予定も経ってないから本来なら… https://t.co/hRRs7n4qmQ', ' 先日お亡くなりになられた方がいらっしゃいましたが、その時重症者が1になったのを見逃していませんが、一日経たずに2人に戻りました。戻ったのではなく、中等症から重症者になったのでしょうか？', ' 日本人はそんなに尊く清い国籍人でしょうか？\n盗みは日本人も犯罪です。\n一部ベトナム籍あり中国なし\nhttps://t.co/0DDvQb92a7\n\nhttps://t.co/TYES8lCp94… https://t.co/5wYg1ytRtK', ' 感染者1桁にはなりましたがまだまだすすきのはクラスター起きてます！本日小学生も出ましたよ。すすきのは本当に出さない対策徹底して下さい。知事が呼びかけお願いします。', ' 海外は目覚めてますよ。\nいつまで続ける気ですか。コロナ騒ぎのまま留まりたい理由はなんですか。PCRの性能をご存知ですか。\n10月31日には終わりますか？\n#指定感染症から外して \n#マスクを外そう… https://t.co/UmnX2sLgLM', ' コロナとは関係ないですが、核のゴミの問題をしっかりお願いします。核のゴミが漏れない保障はないですよね。海産物だけじゃなく土がダメになったら農業だってダメになります。', ' お疲れさまです\n\n知事〜(´༎ຶོρ༎ຶོ`)何も思いつかないからいつものやつだけw\n\n今日も道民も知事もなまら笑顔で〜😆🥔🌾\U0001f9c5\n\n#鈴木直道頑張れー\n#道民の皆様も頑張れー\n#説明は必要ない… https://t.co/Hyuwwmsxda', ' 技能実習生、外国資本の受け入れをやめて外国人に頼らない北海道スタイルやって下さいよ。\n\nhttps://t.co/yFwoaRr6B4', ' ＃コロナを指定感染症から外しましょう\n＃日英FTA破棄で\n＃ワクチン無料でも不要\n＃北海道やばいですね', ' 昨日も‼️日本海  東シナ海  スクランブル発進\n\n日本海は北海道も面してるから気を付けましょう。\n海岸に目知らぬ木造船等見かけたらすぐに警察へ。\n\nhttps://t.co/T0aG8n4tDi', ' パクり  何でも偽造の国。\n\n日本でも在留許可証、運転免許証なんて偽造で出回ってるけど、簡単に偽造するハードルが低い国に、道民一丸となってwelcomeなんて二階と一緒に言うの止めて下さいね。\n\nhttps://t.co/7wSI7MGhUP', ' おはようございます☀土曜日も状況ツイートありがとうございます😊医療提供体制の推移のグラフ📈この1か月の推移見て下さい！順調です👏医療従事者の方々の献身に頭が下がる思いです。引き続きうがい手洗いマスク… https://t.co/TLrLlfcUka', ' 土曜日もお疲れ様です😊\n入院患者さんが減り、良かったですね😊\n長く闘病中の重症者に名の方の回復を引き続き祈ります。\n少し気温が下がってきましたので、マスクがしやすくなりましたが、くれぐれもお体ご自愛くださいね😷✨', ' おい！\n\n北海道チャイナワークとの関係聞いてるだろ💢\n\nいい加減答えろ💢\n\n説明責任あるんだって‼️\n\nこれ以上道民に迷惑かけるな‼️\n\n一刻も早く辞任しなさい‼️\n\n北海道が中共で真っ赤に染まるのは断固反対‼️\n＃鈴木知事リコール', ' おはようございます。\n全国紙の○社さんがついに\n「ﾃﾞﾏに惑わされずに新聞を」\nという趣旨のﾗｼﾞｵCM流し始めましたね(･ω･*)', ' お疲れ様です🙇重症者変わらず？患者さん減りましたね。良かったです🙏医療従事者の方々にはいつもご苦労様とありがとうございますと伝えたいです🙏\n皆様も気温変化で体調お気をつけ下さい🙏\n栄養ある食べ物食べ… https://t.co/AVzMxHK5y2', ' 毎日お疲れ様です\n美味しいものを食べて\nなにか気分転換をして\n休める時にはしっかり休んでね🙏', ' おはようございます。\n土曜日もありがとうございます。\n心穏やかに一息つくことが出来る週末となりますように(*ˊ˘ˋ*)｡♪:*°\n#鈴木知事いつもありがとう', ' 土曜日もおはようございますにゃ🐾🦁 https://t.co/icMCCs0ACg']"
2,"9月10日時点の発生状況は、

検査人数 48,825（+464）

陽性累計 1,860（+11）
陰性確認済累計 1,679（+9）
死亡累計 106（+1）

現在患者数 75（+1）
【内訳】
軽症・中等症 73（+1）… https://t.co/XGAYxaG3Zs","[' 直道君よ！\n\n君は国際情勢を注視してるのかい？\n\n今や各国首脳は中共の横暴と侵略性に気付き、一斉に手を引き始めてんのよ！\n\nそれでも君は北海道を売り続けて道民を奈落の底へ落とそうとする訳は何なのよ？？\n\n沈黙するなら知事を辞めなさい😠', ' おい‼️\n\n北海道チャイナワークとお前の関わりを説明しろと前にも聞いてるだろ💢\n\nどこまで道民の声を無視するんだ💢クズ知事💢\n\nとっとと辞めて、北海道から出て行きなさい💢\n\n大迷惑です。\n\nお前の中… https://t.co/6I6DeJGcYe', ' 北海道インバウンドベースの進行具合は如何ですか？', ' ＃コロナを指定感染症から外しましょう', ' 中国に北海道の土地売らないで下さい！！', ' 沈北海道スタイル', ' 一部ですが道内だけでもこんなに事件があります。\n\n今往来制限されてる中、国籍だけで犯罪を犯すと言い切れますか\n日本人がそんなに清い国籍、人種と言いきれますか？\n日本人も犯罪は犯します… https://t.co/S8fbKgp0YR', ' おつです。\n神谷内村、寿都が手を挙げるとなると道内で2例目、これは国のNINBYでもあります。フリーライダーの受益は課題になるところですね。\n廃棄物を遮断して安全性を確認する技術はゼロリスクベースで… https://t.co/NtsakmXJtW', ' 北海道各地でも野菜や果物の窃盗が起きてます\n園児が育てた心のこもった野菜まで💢\nどうか知事には窃盗対策をお願いいたします', ' お悔やみ申し上げます。\n\n予想通りですが…こちら⬇の件もなんと申したら良いのか…本当に北海道が何処へ向かって行くのか道民をどうする気なのかそろそろご説明頂けませんか。\n#北海道が危ない #RT制限中… https://t.co/Ct9HiUSStW', ' あんたには、言いたい事・聞きたい事が山程あんねんな。\n丸１日とは言わん。\n少し時間取ってや。', ' 書いてる方いますがこう毎日毎日セクだかニューだか知りませんがすすきのからばかりウンザリします。マスク付けてないから移りますよね！すすきのはマスク義務化で良いのでは！', ' 多くの道民が鈴木知事にコロナだけでなく\n中国による買収対策を要望しております\n東京ドーム515個分の水源地\n1万5千㌶、\n静岡県を超える土地の買収が\n事実であるならば、由々しき\n事態であります\n北海… https://t.co/7HPt5n4vST', ' おはようにゃ🐱☘\nここ数日Twitterのタイムラインでは #北海道が危ない このタグをよく目にするようになりました。知事も一度見て頂けませんか？\n是非北海道知事には目にしてもらいたい内容ばかりです。', ' 道民にはいつまでも自粛させといて中国人にはWelcome動画配信し呼び込む。サイレント・インべーションの手助けやめてください。\nhttps://t.co/fhJJiaE5ll', ' お亡くなりになられた方の御冥福を御祈り申し上げます。\n\n総理候補の方々も、不妊治療や出産補助金について発言されていたかと思います。\n出産は日本の未来への光です。\n妊婦さんに接する際の新型コロナウィル… https://t.co/1UnyxTpiUN', ' @p_suke0056 お昼だにゃ🐱\n「ほおを札束ではたくようなやりかたで（応募に）手を挙げる自治体を求めていくという（国の）やり方には疑問を持つ人も多い」\n表現がひどい・・・。\n寿都も神恵内も必至… https://t.co/KRe3P3h8e5', ' 重症者の数字、、、本当ですか？', ' 引きこもる準備⁉️\n\n豚コレラを出して豚を大量処分し、次はウィルスで、次はバッタで食糧難。\n自業自得という言葉がピッタリ✨\n\n中国が原油と戦略金属、食料の膨大な国家備蓄拡大を計画－当局者 https://t.co/0nE3Mr3ZaD', ' 色んな国に喧嘩ふっかけてヤケクソなの⁉️😒\n\n中国戦闘機、2日連続で台湾の防空識別圏に侵入\u3000台湾は緊急発進 https://t.co/7CHom2SYNT', ' 自分達は他国に何してもいいけど、自分達ご他国に規制されるのは許さない‼️ \n\nこんな国とまだ商売したいんですかー⁉️\n香港の優遇措置も15日で終わるんでしたよね、確か。\n\nhttps://t.co/DHnKnCqtuu', ' おはようございます☀\n\n気付けば80人をきった療養者数\n1日も早い回復を祈っています\n次から次へと難題が出ますが鈴木さんだからチャンスに変えられる。と思います\n全てを糧にしていきましょう！\n\nでは、… https://t.co/EXsdKngZAI', ' おはようございます。マスク義務化にして、お店などのコロナ対策の徹底も義務化して、経済回せばいいんじゃないですか？ここ行ったらやばいな？くらいの認識は誰にでもあると思いますし、そこを我慢できずに行って… https://t.co/ZbC9AL6U3Y', ' 窃盗に限らず札幌市内で刃物を持った人間の目撃数も増え静かで穏やかな札幌市内もかなり物騒になりましたね。鈴木知事は男として今まで行ってきた悪事に対し責任を取られるべきでは？\n日本人よりも中国人が大切。… https://t.co/qCkEcWdsPZ', ' お亡くなりになられた方に心よりお悔やみ申し上げます。\n医療従事者の皆さんありがとうございます。\n知事、毎日お疲れ様です。\nこのリプ欄で要望ばかりする方は、SNSではなく直接担当部署へ連絡をしたらいか… https://t.co/F2xmE6ccEp', ' 自殺者が増えてるそうです。鈴木さんはどうお考えですか。自粛強制の影響はあるとお考えですか。', ' 鈴木知事\n\n最近北海道では農作物の盗難事件が頻繁です。\n子ども達も被害に遭いました。\nこの様に自己紹介されているのですから先手先手で動かれては？\nあ。\n小野寺氏からretweetしましたがデマではな… https://t.co/mUSVszaiyG', ' コロナもいいですが移住してくる中国人の数、買われた土地の面積、詳しい場所等も毎日グラフにして発表して頂けませんか？どうせやるならコソコソせずに正々堂々とやって下さい。', ' 今週ももう少しにゃ🐱 https://t.co/nOzkmvRVE2', ' お疲れ様です🙇昨日お亡くなりになられた方に心よりお悔やみ申し上げます。中等病の方ですかね？😣\n引き続き医療従事者の方々は秋冬も大変になります､休める時には身体休めてご自身のお身体もご自愛下さい🙏\nスーパー他の方々も毎日ありがとうございます。', ' おはようございます。\nドイツ大使館のTwitterに不要な書き込みを行い、わざわざ日本人の悪意を広める行動をとる方がいらっしゃいました。海外交流のお客様であるドイツ大使館の方を不愉快にさせたことでし… https://t.co/jXGkh0YUzB', ' お亡くなりになられた方に心よりお悔やみ申し上げます。\n併せて、入院中の方々の1日も早い回復をお祈りしております。\n\n毎日ありがとうございます。\n今日も本会議ですね。\nお忙しいことと思いますが、体調に気をつけてお過ごしくださいませ。\n#鈴木知事頑張れ', ' うーん。\n\nいったりきたり、ですねぇ。']"
3,"【プレミアム付どさんこ商品券】

百貨店で開催される北海道物産展と、北海道どさんこプラザで使えるプレミアム付き商品券7000円分を5000円で販売。

詳しくはこちら↓
https://t.co/d2SvPZrohP https://t.co/y6SPUdhrLo","[' いかにも汗水流し自分の頭と体を使って稼いだ経験のない人間が考えそうな愚策ですね。結局は公金を使う訳だろう？その補填は君のお金で埋めてくれるのかよ？\n\nもう知事を辞職しなさいよ！🙇', ' こんな愚策しかできない道と鈴木‼️\n\n本当に無能💢\n\n大迷惑だから早く辞任しなさい‼️\n\n#鈴木知事リコール', ' https://t.co/iSqspWRhpQ\nこれは本当でしょうか。\n北海道が中国になってしまわないか心配です。', ' ＃コロナを指定感染症から外しましょう', ' 買いやすい環境で販売して欲しいです\nあっとゆーまに売り切れ', ' 札幌市他！主要都市部に住んでいる方は買いやすいでしようね！田舎に住んでる人間はWebサイト～の購入ですかね？？高齢者！Webー使えない方ー多いですが！\n市町村別の商品券の方が個人的には良いと思います！', ' これを活用して、北海道の物を買って、道外の方へ送ったら喜んでもらえそうですね😊\n私は買いに行けそうにないので、私の分も誰かが買って、北海道のために還元してくれたらいいなと思います。\nそれにしてもニュ… https://t.co/UJCNNriioy', ' また、このパターン。\n\n高い値段設定の物を公金で補うダメな手法。\n\nやはり民間企業の経験が無い方に経済対策は無理なのでは？\n\n札幌市の商品券の方が、まだマシ。\n\n一ヶ所でしか使えない商品券って笑が止まらない。', ' これで2億円くらいの予算使うんだもんな\n物産展出店参加者とどさんこプラザの参加企業が潤う仕組みですよね？\n北海道物産展はどこの地域でも人気があって活気に満ち溢れてますよ・・・\nじゃなく、道内の店舗ど… https://t.co/QYaZXptWCK', ' なんで札幌市民だけなんですか?\nなぜここに並べる人だけの政策なのでしょうか??\n愚策です!!', ' 食絶 景 北海道・・\nすごいセンスですね。\nまあ、いずれにせよ \n高齢者やネット環境の整ってない世帯。時間がなく働く人々にこそ\nその支援策は与えられてほしい。\nいつ・誰に・何を・誰が・何故・何のため… https://t.co/NcwjSTqqGh', ' これ、札幌の人にしか恩恵ないですよね？\n道の税金なのに、一部の人にしか還元されないのは納得いかないんですけどー\n\nby地方組', ' 鈴木知事は説明が必要だろう！\nhttps://t.co/FfvxxdvnkB', ' ＃コロナを指定感染症から外しましょう\n北海道やばいですね', ' お前💢\nススキノ行ってみたか？？\n\nもの凄い数の店が閉店してしまってるぞ💢\n\nお前が単なる風邪に、道民を混乱させる『新北海道スタイル」などと全く意味のない発信を続けているのが1番の原因だ💢\n\nススキ… https://t.co/IPoufqcvdq', ' いっそ、ちゃんと道民に配って欲しいな。\n私20冊買いました〜なんて自慢する人いたりするし', ' 夕方のニュースでこの券の存在を知りました。\n発売日に完売ってニュースでしたけど…\n前もってどこかで発表しでしたか？\n発売前にしっかり周知していただきたいです。', ' 関西でも18:00のニュースで大々的に報道していました！\n\n京都河原町、大阪難波、兵庫加古川\n悲しいかな、私の近くのデパートでは開催されていなかったので次回に期待します。', ' 10冊買います！^_^', ' 秋田ではこんなお菓子を発売😊 https://t.co/jqhFlFueSH', ' 平日の昼間に札幌で行列に並べる人のみ、北海道の財源から\n最大2万円緊急性のない買い物の補助をしてくれるという政策ですね。これは札幌以外の(函館や帯広以外の)道民にちゃんと説明しているのかな？', ' 今日午後からの道産子プラザでは売り切れでした😥\nあっという間に売り切れで少し遠くから買いに行くには買えませんね😭1人何冊も買える事にも疑問に思う😭', ' 新北海道スタイルと矛盾してていいね。', ' 中国全く関係ないやろwww\n毎度笑えるね 直道さん😅\nここまで北海道ブランド推せるのが\n北海道の凄さです😊', ' 北海道物産展なんて、何割増しの価格よ！\n道民に、フツーにスーパーやコンビニ・ガソスタで使える物を出せよ！', ' 道民は早く気づいてほしい確実に中国が侵略してきている事を', ' そんなことより\n中国人に北海道の土地を売らないでください‼️', ' 道民が道産品買ってどーすんの???', ' これ良いですね👏👏全国で使えるのまってました！北海道の美食の品をお得にお家で堪能したいと思います🍦', ' 今年冬寒いってよ\n\nホワイトアウトとかそこらで起きそうだぬ(´･д･｀)', ' 一人10冊まで・・・ 以前の商品券とは物は違うけど また買えない人が出るだろうな 笑    今日も営業終了前に売り切れてるし', ' 素晴らしい。買おうかな♪\nありがとうございます。', ' Σd(ﾟ∀ﾟd)ｵｩｲｴ!!\n私も買いまーす♪', ' すんばらしい✨\n\n私の分も誰かにまわって道産品が売れたら感謝ですの〜♪( ´▽｀)', ' 全国の皆さんにも、たくさん道産品を買っていただけますね。\n(∩´∀｀)∩ｽﾝﾊﾞﾗｽｨ♪', ' 👍日本全体で、いけるやん✌️']"
4,"先日はご来庁いただきありがとうございました。

ドイツと北海道とは長年にわたる交流の歴史があり、ビールやジャガイモといった食文化をはじめ、いろいろな共通点があります。

今後とも、観光や文化をはじめ幅広い分野で交流を拡大していきた… https://t.co/LlpYSH3Fk7","[' アイヌは朝鮮人がなりすましはじめています。何か対策を', ' とても良い交流ですが。北海道の土地を中国人に買われてる事の対策をしましょうよ。明日から、いや、今日から。', ' ＃コロナを指定感染症から外しましょう', ' この男の人は誰❓️別人みたい‼️', ' ウインナーは？🤣ないのかな？\n間違ってる？(食べたいだけ)\n\n来庁に感謝します。\n北海道庁内もお花キレイだし色々見ていってくださったら嬉しいですね', ' お疲れ様です😊\nミュンヘン✨\nそして、熊送りですか👀不覚にも装飾されてて可愛いと一瞬思ってしまいましたが、アイヌ文化は奥が深いですね。\n今後もドイツと北海道がズッ友でありますように❤︎', ' 北海道知事鈴木氏✌️素晴らしい事ですね🙆', ' 共通点は確かにビールとジャガイモだけど\nドイツはそれ以外はご飯まずいわ\nそして、りりぃちゃんの中学高校時代ECと宗教の担当だったドイツ人シスターは怒ったらめっちゃ怖かったわ\nトラウマになるくらいよ\n(´･д･｀)。。', ' さっきから繰り返されていますので\u3000エスキモーがルーツと聞いてます北極には文字を書く石も木もない、派生の彼らにも文字はない\u3000それ以上でもそれ以下でもありません', ' ドイツも脱中国へ一歩前進ですね！\n北海道も頑張りましょう😊\n\nhttps://t.co/gMYI6B2zDF', ' ミュンヘン札幌ミルウォーキー   を思い出した', ' ミュンヘン市と札幌市が姉妹都市ですもんね😊\nお疲れ様です✨', ' ヒグマですか？可愛い']"
