,tweet,replies
0,（公明党全国大会(９月２７日)斉藤幹事長に聞く）立党精神貫き難局打開／ポストコロナ社会像示す／人、地域のつながり・絆を再構築 #公明新聞電子版 2020年09月12日付 https://t.co/wDo2jjKxGS https://t.co/ZZcwZktNE2,[' 公明新聞に出てましたがグレートリセットは誰のために何のためにするかの議論もなしに押し進めるのだけは避けてください。よろしくお願いします。']
1,"昨日の会見です。
https://t.co/7ljuqndEZ7",[]
2,本日午後、アフリカ各国大使との懇談会を致しました。 https://t.co/XV0bETJKRG,[]
3,優先接種、受験生も／インフルワクチンで提案／政府に党コロナ対策本部 #公明新聞電子版 2020年09月10日付 https://t.co/wDo2jjKxGS https://t.co/LWmby7PYUp,[]
4,（歴代最長の安倍政権）自公連立で多大な実績／政治の安定、広がる信頼／斉藤鉄夫幹事長に聞く #公明新聞電子版 2020年09月07日付 https://t.co/wDo2jjKxGS https://t.co/Z7RKXwFLAr,"[' ちゃんとしたニュース報道と\nシンプルにわかりやすく\n真実を話すトランプ大統領。\n\nこれが、\n\n日本政府、メディアは\nできない、やらない、\nやれない。。。\n\n国民は\n知らない、知れない、\n知らされない。。。… https://t.co/bxIkKJSqU4', ' @brjpbVetomFM5QQ 陰で色々な政策の実現、またこのコロナ禍において定額給付金の支給ありがとうございました🤗\nしかし現在失業者、倒産、うつ病等が増加し経済も回らず国民は困窮しています。\nコロナ… https://t.co/zS9209ILDm', ' いつも慎重に判断した結果、賛成しておかしな実績作るから。敵基地攻撃能力について。\n北朝鮮にミサイルは撃てませんよ。北と南は休戦状態です。韓国の憲法上、北は韓国の領土とされています。なので、北朝鮮にミサイル… https://t.co/eWhAkD92Gf', ' ""ユネスコ関連機関WABTのトップを務めるイタリア人科学者、新型コロナはチャイナの研究所で人工的に作られたと結論付ける書籍を出版。効果的な単一ワクチンは「可能性が低い」""\n\nhttps://t.co/CAEpisd0ye', ' もう少し庶民にも優しい政治を。政治家の給与も高すぎると思うのです😭', ' なんと言っても自公の多大な実績これでしょう https://t.co/mpTK6U7NYG', ' 維新は実質的に橋下党で学会さんつぶすていうてます\n地方議員にきいてください\nつじさん', ' &amp;維新。何故とおしたの? https://t.co/4FNdjsKpFK', ' 実質菅維新になるから自民若手とやなぎもさんと離党して新党結成ください\n１人区は維新になり大阪はだめでしょうね\n橋下は公明党と学会さん潰す、て']"
